"State/Substate Region","12-17 (Estimate)","12-17 (95% Confidence Interval)","18-25 (Estimate)","18-25 (95% Confidence Interval)","26+ (Estimate)","26+ (95% Confidence Interval)","18+ (Estimate)","18+ (95% Confidence Interval)"
"Region 6","4.90","(4.11 - 5.83)","5.53","(4.44 - 6.87)","0.16","(0.11 - 0.25)","0.99","(0.81 - 1.21)"
"Region 6a","4.83","(3.99 - 5.83)","5.38","(4.24 - 6.81)","0.17","(0.11 - 0.26)","0.98","(0.79 - 1.22)"
"Region 6bc","5.53","(3.89 - 7.82)","7.20","(4.85 - 10.56)","*","(* - *)","1.02","(0.74 - 1.42)"
"Region 7","5.12","(4.12 - 6.35)","8.48","(6.82 - 10.48)","0.19","(0.13 - 0.27)","1.61","(1.32 - 1.96)"
"Region 7a","5.63","(4.27 - 7.40)","10.23","(7.67 - 13.51)","0.22","(0.14 - 0.34)","1.72","(1.33 - 2.22)"
"Region 7bcd","4.29","(3.11 - 5.89)","6.68","(4.91 - 9.04)","*","(* - *)","1.46","(1.11 - 1.91)"
"Region 8","4.53","(3.57 - 5.74)","6.62","(4.92 - 8.87)","0.15","(0.09 - 0.24)","1.02","(0.79 - 1.33)"
"Region 9","6.36","(4.41 - 9.09)","6.62","(4.52 - 9.60)","*","(* - *)","1.06","(0.77 - 1.46)"
"Region 10","6.69","(4.99 - 8.90)","6.30","(4.44 - 8.86)","*","(* - *)","1.04","(0.77 - 1.40)"
"Region 11","6.38","(5.11 - 7.93)","5.51","(4.17 - 7.24)","0.14","(0.08 - 0.26)","0.94","(0.73 - 1.21)"
"Region 11abd","7.29","(5.58 - 9.47)","6.17","(4.33 - 8.72)","*","(* - *)","1.00","(0.73 - 1.36)"
"Region 11c (Hidalgo)","5.04","(3.63 - 6.95)","4.59","(3.15 - 6.64)","*","(* - *)","0.86","(0.62 - 1.19)"
"Utah","3.88","(3.20 - 4.69)","3.91","(3.13 - 4.87)","0.11","(0.06 - 0.20)","0.81","(0.66 - 1.00)"
"Bear River, Northeastern, Summit, Tooele, and Wasatch","3.49","(2.43 - 4.99)","3.78","(2.55 - 5.56)","*","(* - *)","0.78","(0.55 - 1.10)"
"Central, Four Corners, San Juan, and Southwest","3.92","(2.67 - 5.71)","4.30","(2.81 - 6.54)","*","(* - *)","0.77","(0.53 - 1.11)"
"Davis County","3.42","(2.30 - 5.06)","4.66","(3.12 - 6.90)","*","(* - *)","0.84","(0.59 - 1.19)"
"Salt Lake County","4.75","(3.55 - 6.32)","4.32","(3.08 - 6.03)","0.13","(0.07 - 0.24)","0.81","(0.60 - 1.08)"
"Utah County","2.86","(1.95 - 4.18)","2.86","(1.92 - 4.25)","*","(* - *)","0.86","(0.61 - 1.22)"
"Weber, Morgan","3.93","(2.65 - 5.79)","4.79","(3.11 - 7.29)","*","(* - *)","0.82","(0.57 - 1.18)"
"Vermont","9.31","(8.14 - 10.63)","9.54","(7.70 - 11.76)","0.27","(0.18 - 0.41)","1.51","(1.24 - 1.84)"
"Champlain Valley","10.42","(8.55 - 12.64)","10.89","(8.00 - 14.65)","0.32","(0.20 - 0.53)","2.16","(1.65 - 2.84)"
"Rural Northeast","9.02","(7.04 - 11.49)","7.98","(5.51 - 11.41)","*","(* - *)","1.22","(0.90 - 1.67)"
"Rural Southeast","9.47","(7.34 - 12.12)","8.58","(5.72 - 12.68)","*","(* - *)","1.05","(0.76 - 1.44)"
"Rural Southwest","6.80","(5.03 - 9.13)","8.58","(5.78 - 12.56)","*","(* - *)","1.14","(0.82 - 1.58)"
"Virginia","6.16","(5.32 - 7.12)","7.51","(6.21 - 9.04)","0.20","(0.14 - 0.29)","1.25","(1.05 - 1.49)"
"Region 1","6.51","(4.92 - 8.58)","9.66","(7.01 - 13.19)","*","(* - *)","1.54","(1.17 - 2.04)"
"Region 2","4.30","(3.26 - 5.66)","6.34","(4.38 - 9.10)","0.23","(0.15 - 0.37)","0.95","(0.71 - 1.28)"
"Region 3","5.98","(4.42 - 8.05)","7.13","(5.12 - 9.86)","*","(* - *)","1.18","(0.88 - 1.58)"
"Region 4","6.29","(4.72 - 8.33)","8.20","(5.41 - 12.23)","*","(* - *)","1.40","(1.00 - 1.96)"
"Region 5","8.43","(6.53 - 10.83)","7.13","(4.94 - 10.19)","*","(* - *)","1.41","(1.03 - 1.93)"
"Washington","6.67","(5.78 - 7.68)","8.61","(7.19 - 10.29)","0.25","(0.18 - 0.36)","1.39","(1.17 - 1.64)"
"Region 1","6.56","(5.10 - 8.39)","6.59","(4.83 - 8.93)","*","(* - *)","1.24","(0.95 - 1.61)"
"East 1 (previously Region 1)","5.74","(4.07 - 8.05)","7.45","(4.97 - 11.03)","*","(* - *)","1.40","(1.00 - 1.95)"
"East 2 (previously Region 2)","7.57","(5.35 - 10.60)","5.49","(3.56 - 8.38)","*","(* - *)","1.04","(0.73 - 1.48)"
"Region 2","6.71","(5.53 - 8.11)","9.93","(7.78 - 12.59)","0.30","(0.21 - 0.44)","1.52","(1.23 - 1.87)"
"North 1 (previously Region 3)","6.26","(4.66 - 8.35)","10.53","(7.47 - 14.65)","*","(* - *)","1.60","(1.20 - 2.14)"
"North 2 (previously Region 4)","7.01","(5.46 - 8.97)","9.55","(6.92 - 13.05)","0.33","(0.22 - 0.50)","1.47","(1.12 - 1.91)"
"Region 3","6.70","(5.37 - 8.34)","8.68","(6.61 - 11.32)","0.22","(0.15 - 0.33)","1.32","(1.04 - 1.67)"
"West 1 (previously Region 5)","7.57","(5.61 - 10.15)","9.08","(6.31 - 12.89)","*","(* - *)","1.46","(1.07 - 2.00)"
"West 2 (previously Region 6)","5.92","(4.34 - 8.03)","8.27","(5.69 - 11.88)","*","(* - *)","1.19","(0.87 - 1.63)"
"West Virginia","6.30","(5.43 - 7.30)","7.26","(6.08 - 8.64)","0.14","(0.09 - 0.21)","0.93","(0.78 - 1.11)"
"Region I","6.20","(4.39 - 8.69)","5.19","(3.27 - 8.15)","*","(* - *)","0.68","(0.47 - 0.99)"
"Region II","8.75","(6.54 - 11.60)","7.01","(4.59 - 10.58)","*","(* - *)","0.89","(0.63 - 1.25)"
"Region III","3.86","(2.68 - 5.54)","4.41","(2.83 - 6.80)","*","(* - *)","0.54","(0.38 - 0.77)"
"Region IV","7.13","(5.38 - 9.37)","11.78","(9.13 - 15.08)","*","(* - *)","1.83","(1.44 - 2.32)"
"Region V","4.96","(3.79 - 6.45)","5.48","(3.91 - 7.61)","0.13","(0.08 - 0.21)","0.69","(0.52 - 0.92)"
"Region VI","6.98","(5.23 - 9.25)","5.62","(3.77 - 8.29)","*","(* - *)","0.65","(0.47 - 0.91)"
"Wisconsin","5.30","(4.51 - 6.22)","5.88","(4.79 - 7.19)","0.18","(0.12 - 0.26)","0.97","(0.80 - 1.17)"
"Milwaukee","6.93","(4.96 - 9.60)","7.63","(5.16 - 11.14)","*","(* - *)","1.38","(0.99 - 1.92)"
"Northeastern","4.12","(3.10 - 5.47)","5.36","(3.74 - 7.64)","*","(* - *)","0.84","(0.62 - 1.13)"
"Northern","4.73","(3.16 - 7.03)","4.86","(3.14 - 7.44)","*","(* - *)","0.74","(0.52 - 1.06)"
"Southeastern","5.72","(4.24 - 7.68)","5.37","(3.60 - 7.93)","*","(* - *)","0.82","(0.59 - 1.13)"
"Southern","5.86","(4.33 - 7.90)","6.26","(4.39 - 8.85)","*","(* - *)","1.06","(0.78 - 1.43)"
"Western","4.31","(3.05 - 6.06)","5.32","(3.56 - 7.87)","*","(* - *)","0.97","(0.69 - 1.35)"
"Wyoming","5.95","(5.14 - 6.88)","6.12","(5.06 - 7.39)","0.17","(0.12 - 0.25)","0.99","(0.83 - 1.18)"
"Judicial District 1 (Laramie)","6.23","(4.62 - 8.36)","5.56","(3.73 - 8.22)","*","(* - *)","0.85","(0.61 - 1.17)"
"Judicial District 2","6.27","(4.37 - 8.92)","7.90","(5.47 - 11.28)","*","(* - *)","2.48","(1.79 - 3.43)"
"Judicial District 3","3.73","(2.62 - 5.29)","3.50","(2.34 - 5.21)","*","(* - *)","0.61","(0.43 - 0.87)"
"Judicial District 4","5.88","(4.07 - 8.42)","6.81","(4.43 - 10.33)","*","(* - *)","0.75","(0.53 - 1.06)"
"Judicial District 5","4.55","(3.14 - 6.56)","5.83","(3.70 - 9.09)","*","(* - *)","0.70","(0.48 - 1.03)"
"Judicial District 6","5.38","(3.81 - 7.53)","4.60","(2.95 - 7.11)","*","(* - *)","0.83","(0.59 - 1.19)"
"Judicial District 7 (Natrona)","7.63","(5.58 - 10.36)","7.24","(4.85 - 10.69)","*","(* - *)","1.08","(0.78 - 1.49)"
"Judicial District 8","5.72","(4.09 - 7.94)","7.77","(4.92 - 12.06)","*","(* - *)","0.85","(0.59 - 1.22)"
"Judicial District 9","8.98","(6.38 - 12.49)","7.11","(4.50 - 11.08)","*","(* - *)","1.05","(0.73 - 1.51)"
