Region A,6.07,(4.89 - 7.51),7.78,(5.97 - 10.08),*,(* - *),1.32,(1.03 - 1.68)
Circuit 1,6.14,(4.44 - 8.42),6.44,(4.18 - 9.79),*,(* - *),1,(0.69 - 1.46)
Circuit 2,6.26,(4.27 - 9.08),10.14,(7.06 - 14.35),*,(* - *),2.32,(1.62 - 3.31)
Circuit 14,5.6,(3.86 - 8.04),5.95,(3.76 - 9.30),*,(* - *),0.8,(0.54 - 1.17)
Region B,6.67,(5.61 - 7.91),6.91,(5.53 - 8.61),0.15,(0.10 - 0.24),1.02,(0.83 - 1.25)
Circuits 3 and 8,6.1,(4.37 - 8.47),7.07,(4.87 - 10.16),*,(* - *),1.34,(0.96 - 1.88)
Circuit 4,6.65,(5.17 - 8.53),5.82,(4.04 - 8.32),*,(* - *),0.98,(0.71 - 1.35)
Circuit 7,7.19,(5.29 - 9.71),8.92,(6.11 - 12.84),*,(* - *),0.85,(0.60 - 1.19)
Region C,5.84,(5.04 - 6.77),5.8,(4.78 - 7.02),0.13,(0.09 - 0.19),0.72,(0.60 - 0.85)
Circuit 5,4.91,(3.59 - 6.70),6.18,(4.08 - 9.26),*,(* - *),0.51,(0.36 - 0.72)
Circuit 9,5.69,(4.38 - 7.35),5.54,(3.96 - 7.70),*,(* - *),0.91,(0.67 - 1.23)
Circuit 10,5.39,(3.77 - 7.64),4.1,(2.57 - 6.48),*,(* - *),0.56,(0.38 - 0.82)
Circuit 18,6.75,(5.06 - 8.96),7.06,(4.88 - 10.13),*,(* - *),0.85,(0.62 - 1.17)
Circuit 19,6.66,(4.63 - 9.49),7.2,(4.50 - 11.32),*,(* - *),0.71,(0.48 - 1.06)
Region D,5.01,(4.31 - 5.82),4.72,(3.88 - 5.73),0.1,(0.06 - 0.16),0.6,(0.50 - 0.73)
Circuits 11 and 16,4.17,(3.20 - 5.41),3.36,(2.38 - 4.74),0.07,(0.04 - 0.15),0.46,(0.33 - 0.63)
Circuit 15 (Palm Beach),6.95,(5.39 - 8.92),7.49,(5.47 - 10.17),*,(* - *),0.77,(0.58 - 1.03)
Circuit 17 (Broward),5.09,(4.02 - 6.42),5.77,(4.23 - 7.81),0.12,(0.07 - 0.21),0.74,(0.56 - 0.98)
Region E,6.5,(5.60 - 7.54),5.48,(4.39 - 6.81),0.12,(0.08 - 0.19),0.62,(0.51 - 0.75)
Circuit 6,6.53,(5.05 - 8.40),5.97,(4.02 - 8.77),*,(* - *),0.6,(0.43 - 0.84)
Circuit 12,6.96,(5.05 - 9.51),5.48,(3.47 - 8.57),*,(* - *),0.52,(0.36 - 0.76)
Circuit 13 (Hillsborough),6.55,(4.98 - 8.57),4.57,(3.12 - 6.66),*,(* - *),0.76,(0.55 - 1.05)
Circuit 20,6.11,(4.63 - 8.03),6.34,(4.33 - 9.18),*,(* - *),0.58,(0.42 - 0.80)
Georgia,4.8,(3.98 - 5.76),6.34,(5.08 - 7.89),0.16,(0.11 - 0.26),1.03,(0.84 - 1.27)
Region 1,5.08,(3.58 - 7.17),5.41,(3.57 - 8.11),*,(* - *),0.81,(0.57 - 1.17)
Region 2,5.61,(4.03 - 7.77),6.63,(4.53 - 9.62),*,(* - *),1.07,(0.75 - 1.53)
Region 3,4.2,(3.09 - 5.70),7.05,(5.08 - 9.71),0.18,(0.10 - 0.32),1.18,(0.87 - 1.59)
Region 4,5.03,(3.55 - 7.08),5.88,(3.89 - 8.80),*,(* - *),0.89,(0.62 - 1.28)
Region 5,5.14,(3.54 - 7.41),5.31,(3.31 - 8.42),*,(* - *),0.95,(0.63 - 1.43)
Hawaii,6.39,(5.22 - 7.80),7.05,(5.41 - 9.14),0.15,(0.06 - 0.33),0.95,(0.72 - 1.25)
Hawaii Island,7.01,(4.78 - 10.16),7.07,(4.23 - 11.57),*,(* - *),0.99,(0.61 - 1.58)
Honolulu,6.11,(4.83 - 7.71),6.94,(5.13 - 9.33),0.14,(0.06 - 0.34),0.94,(0.69 - 1.27)
Kauai and Maui**,7.06,(5.02 - 9.83),7.63,(5.03 - 11.41),*,(* - *),0.99,(0.67 - 1.47)
Maui,6.83,(4.63 - 9.98),7.01,(4.37 - 11.04),*,(* - *),0.96,(0.62 - 1.50)
Idaho,5.25,(4.42 - 6.23),5.92,(4.80 - 7.30),0.19,(0.13 - 0.30),1.1,(0.90 - 1.33)
Region 1,6.56,(4.53 - 9.40),9.24,(5.74 - 14.54),*,(* - *),1.09,(0.72 - 1.65)
Region 2,5.03,(3.32 - 7.54),7.19,(4.48 - 11.34),*,(* - *),1.24,(0.82 - 1.86)
Region 3,5.66,(3.95 - 8.04),4.78,(3.08 - 7.34),*,(* - *),0.91,(0.62 - 1.34)
Region 4,5.61,(4.07 - 7.68),7.93,(5.36 - 11.58),*,(* - *),1.42,(1.00 - 2.00)
Region 5,4.63,(3.16 - 6.72),4.28,(2.58 - 7.02),*,(* - *),0.72,(0.48 - 1.09)
Region 6,4.57,(3.09 - 6.73),4.84,(3.09 - 7.51),*,(* - *),1.04,(0.69 - 1.56)
Region 7,4.43,(2.95 - 6.61),4.46,(2.75 - 7.15),*,(* - *),1.12,(0.72 - 1.74)
Illinois,5.76,(5.25 - 6.33),6.3,(5.56 - 7.13),0.15,(0.10 - 0.22),0.96,(0.85 - 1.08)
Region I (Cook),6.3,(5.43 - 7.30),6.45,(5.30 - 7.83),0.16,(0.09 - 0.27),1,(0.83 - 1.20)
Region II,5.44,(4.65 - 6.36),6.75,(5.47 - 8.30),0.14,(0.09 - 0.24),0.98,(0.81 - 1.20)
Region III,5.89,(4.64 - 7.45),5.68,(4.18 - 7.68),0.14,(0.08 - 0.24),0.99,(0.75 - 1.32)
Region IV,6.14,(4.65 - 8.06),4.81,(3.26 - 7.04),*,(* - *),0.7,(0.50 - 0.98)
Region V,4.11,(3.07 - 5.49),6.3,(4.56 - 8.65),0.14,(0.08 - 0.24),0.88,(0.65 - 1.18)
Indiana,6.09,(5.27 - 7.03),6.38,(5.19 - 7.81),0.17,(0.11 - 0.25),0.98,(0.81 - 1.18)
Central,6.83,(5.28 - 8.80),6.61,(4.51 - 9.58),*,(* - *),0.97,(0.70 - 1.36)
East,5.58,(3.87 - 7.99),5.43,(3.40 - 8.57),*,(* - *),0.9,(0.60 - 1.33)
North Central,5.86,(4.17 - 8.17),6.27,(3.99 - 9.72),*,(* - *),0.94,(0.64 - 1.37)
Northeast,4.46,(2.90 - 6.80),4.19,(2.42 - 7.19),*,(* - *),0.68,(0.43 - 1.08)
Northwest,6.42,(4.73 - 8.66),6.37,(4.11 - 9.75),*,(* - *),0.89,(0.61 - 1.30)
Southeast,6.23,(4.36 - 8.83),6.52,(4.02 - 10.42),*,(* - *),0.82,(0.55 - 1.21)
Southwest,6.16,(4.22 - 8.90),6.49,(4.02 - 10.32),*,(* - *),0.87,(0.58 - 1.32)
West,6.31,(4.44 - 8.91),8.06,(5.53 - 11.61),*,(* - *),1.73,(1.20 - 2.49)
Iowa,5.34,(4.50 - 6.32),6.35,(5.14 - 7.82),0.15,(0.09 - 0.26),0.99,(0.82 - 1.21)
Central,7.87,(5.55 - 11.05),8.86,(5.56 - 13.81),*,(* - *),1.33,(0.87 - 2.03)
North Central,4.67,(3.16 - 6.87),5.25,(3.26 - 8.36),*,(* - *),1,(0.65 - 1.52)
Northeast,4.98,(3.72 - 6.63),7.36,(5.23 - 10.26),*,(* - *),1.1,(0.81 - 1.50)
Northwest,4.77,(3.29 - 6.88),5.05,(3.22 - 7.86),*,(* - *),0.74,(0.50 - 1.08)
Southeast,4.91,(3.53 - 6.81),6.09,(4.18 - 8.80),*,(* - *),1.02,(0.73 - 1.43)
Southwest,5.01,(3.41 - 7.30),4.72,(2.92 - 7.53),*,(* - *),0.66,(0.44 - 0.98)
Kansas,5.68,(4.80 - 6.72),6.5,(5.29 - 7.96),0.17,(0.11 - 0.26),1.07,(0.89 - 1.29)
Kansas City Metro,7.21,(5.44 - 9.50),8.47,(6.05 - 11.74),0.22,(0.12 - 0.40),1.48,(1.07 - 2.03)
Northeast,5.36,(3.85 - 7.41),5.83,(3.79 - 8.87),*,(* - *),1.06,(0.73 - 1.53)
South Central,4.24,(2.85 - 6.26),4.99,(3.01 - 8.16),*,(* - *),0.76,(0.49 - 1.16)
Southeast,5.77,(3.76 - 8.77),6.22,(3.72 - 10.21),*,(* - *),0.94,(0.61 - 1.43)
West,5.53,(3.80 - 7.99),7.01,(4.32 - 11.17),*,(* - *),0.97,(0.65 - 1.47)
Wichita (Sedgwick),4.64,(3.13 - 6.83),4.87,(3.11 - 7.54),*,(* - *),0.84,(0.58 - 1.22)
Kentucky,5.95,(5.10 - 6.93),6.12,(4.95 - 7.55),0.16,(0.10 - 0.24),0.87,(0.71 - 1.05)
"Adanta, Cumberland River, and Lifeskills",5.38,(3.86 - 7.46),6.05,(4.05 - 8.94),*,(* - *),0.79,(0.56 - 1.12)
"Bluegrass, Comprehend, and North Key",5.91,(4.45 - 7.80),6.43,(4.51 - 9.10),*,(* - *),1.04,(0.76 - 1.43)
Communicare and River Valley,4.94,(3.34 - 7.25),5.98,(3.73 - 9.45),*,(* - *),0.81,(0.55 - 1.21)
Four Rivers and Pennyroyal,5.81,(4.02 - 8.33),6.36,(4.07 - 9.80),*,(* - *),0.83,(0.57 - 1.20)
"Kentucky River, Mountain, and Pathways",4.96,(3.49 - 7.02),5.3,(3.45 - 8.05),*,(* - *),0.71,(0.49 - 1.03)
Seven Counties,7.79,(5.94 - 10.15),6.17,(4.06 - 9.25),*,(* - *),0.84,(0.59 - 1.21)
Louisiana,5.33,(4.51 - 6.28),5.53,(4.47 - 6.83),0.15,(0.10 - 0.23),0.95,(0.78 - 1.15)
Region 1,4.44,(2.86 - 6.83),4.55,(2.74 - 7.46),*,(* - *),0.85,(0.54 - 1.31)
Regions 2 and 9,6.41,(4.82 - 8.47),7.05,(4.96 - 9.93),*,(* - *),1.26,(0.91 - 1.74)
Region 3,6.23,(4.22 - 9.10),5.34,(3.29 - 8.57),*,(* - *),0.85,(0.56 - 1.29)
Region 4,5.34,(3.79 - 7.46),4.67,(2.99 - 7.22),*,(* - *),0.8,(0.54 - 1.19)
Regions 5 and 6,4.77,(3.26 - 6.93),5.91,(3.81 - 9.05),*,(* - *),0.92,(0.63 - 1.34)
Regions 7 and 8,4.54,(3.29 - 6.24),5.33,(3.60 - 7.83),*,(* - *),0.89,(0.62 - 1.26)
Region 10 (Jefferson),5.28,(3.56 - 7.78),4.35,(2.64 - 7.09),*,(* - *),0.8,(0.53 - 1.22)
Maine,7.46,(6.43 - 8.64),9.61,(7.89 - 11.66),0.17,(0.11 - 0.27),1.11,(0.92 - 1.33)
Aroostook/Downeast,7.11,(5.00 - 10.02),8.38,(5.24 - 13.16),*,(* - *),0.89,(0.60 - 1.32)
Central,7.06,(5.11 - 9.66),10.36,(6.88 - 15.32),*,(* - *),1.15,(0.80 - 1.64)
Cumberland,8.19,(6.22 - 10.71),9.45,(6.36 - 13.80),*,(* - *),1.21,(0.86 - 1.70)
Midcoast,8.32,(5.99 - 11.44),11.58,(7.48 - 17.50),*,(* - *),1.13,(0.77 - 1.67)
Penquis,7.2,(5.14 - 9.98),10.9,(7.37 - 15.84),*,(* - *),1.35,(0.95 - 1.92)
Western,8.34,(6.03 - 11.42),10.09,(6.66 - 15.02),*,(* - *),1.15,(0.79 - 1.67)
York,5.9,(4.25 - 8.13),7.41,(4.90 - 11.06),*,(* - *),0.87,(0.61 - 1.25)
Maryland,5.75,(4.92 - 6.72),6.3,(5.14 - 7.70),0.15,(0.10 - 0.23),0.94,(0.78 - 1.13)
Anne Arundel,6.32,(4.41 - 8.97),7.12,(4.35 - 11.45),*,(* - *),1.1,(0.72 - 1.68)
Baltimore City,5.77,(3.94 - 8.36),6.06,(3.78 - 9.57),*,(* - *),1.1,(0.71 - 1.70)
Baltimore County,5.56,(3.94 - 7.81),6.85,(4.65 - 9.99),*,(* - *),0.96,(0.68 - 1.35)
Montgomery,6.08,(4.28 - 8.58),5.47,(3.56 - 8.33),*,(* - *),0.73,(0.50 - 1.06)
North Central,7.82,(5.31 - 11.38),7.12,(4.22 - 11.75),*,(* - *),0.98,(0.63 - 1.51)
Northeast,5.58,(3.86 - 8.00),8.29,(5.05 - 13.31),*,(* - *),1.03,(0.67 - 1.59)
Prince George's,4.85,(3.30 - 7.07),5.86,(3.79 - 8.95),*,(* - *),0.96,(0.65 - 1.41)
South,5.24,(3.67 - 7.42),5.53,(3.52 - 8.60),*,(* - *),0.88,(0.59 - 1.31)
West,5.37,(3.72 - 7.70),6.15,(3.75 - 9.92),*,(* - *),0.91,(0.60 - 1.38)
Massachusetts,6.39,(5.42 - 7.50),8.27,(6.80 - 10.03),0.19,(0.13 - 0.29),1.18,(0.99 - 1.42)
Boston,5.33,(3.61 - 7.82),5.71,(3.75 - 8.61),*,(* - *),1.25,(0.86 - 1.82)
Central,6.97,(4.91 - 9.82),8.14,(5.28 - 12.35),*,(* - *),1.06,(0.73 - 1.54)
Metrowest,6.34,(4.74 - 8.44),10.47,(7.22 - 14.95),0.22,(0.12 - 0.39),1.36,(0.97 - 1.92)
Northeast,6.39,(4.68 - 8.67),6.47,(4.29 - 9.64),*,(* - *),0.95,(0.67 - 1.36)
Southeast,6.02,(4.36 - 8.25),8.97,(5.86 - 13.50),*,(* - *),1.01,(0.70 - 1.45)
Western,7.27,(5.18 - 10.12),10.98,(7.58 - 15.64),*,(* - *),1.57,(1.11 - 2.22)
Michigan,6.11,(5.60 - 6.67),7.6,(6.79 - 8.51),0.17,(0.12 - 0.25),1.12,(1.00 - 1.26)
Bay,6.47,(4.72 - 8.81),4.95,(3.13 - 7.73),*,(* - *),0.73,(0.49 - 1.07)
Detroit City,5.91,(4.62 - 7.54),6.15,(4.37 - 8.58),*,(* - *),1.02,(0.75 - 1.39)
Genesee,5.21,(3.80 - 7.11),7.83,(5.34 - 11.36),*,(* - *),1.14,(0.81 - 1.59)
Kalamazoo,6.69,(5.19 - 8.60),8.87,(6.34 - 12.28),*,(* - *),1.3,(0.96 - 1.77)
Kent,5.76,(4.35 - 7.58),6.12,(4.34 - 8.57),*,(* - *),1.07,(0.78 - 1.46)
Lakeshore,6.31,(4.89 - 8.11),5.77,(4.08 - 8.12),*,(* - *),0.97,(0.71 - 1.32)
Macomb,6.41,(5.00 - 8.18),7.81,(5.43 - 11.11),0.2,(0.12 - 0.33),1.04,(0.76 - 1.42)
Mid South,6.42,(5.04 - 8.16),9.29,(6.90 - 12.40),0.19,(0.11 - 0.33),1.46,(1.11 - 1.93)
Northern,6.01,(4.68 - 7.69),8.18,(5.97 - 11.11),0.14,(0.08 - 0.25),1.11,(0.84 - 1.48)
Oakland,5.71,(4.58 - 7.12),7.55,(5.61 - 10.08),0.18,(0.11 - 0.30),0.99,(0.76 - 1.30)
Pathways,*,(* - *),10.02,(6.61 - 14.91),*,(* - *),1.38,(0.94 - 2.01)
Saginaw,7.28,(5.03 - 10.44),7.41,(4.64 - 11.64),*,(* - *),1.01,(0.67 - 1.51)
Southeast,6.43,(5.24 - 7.86),7.77,(5.85 - 10.25),0.18,(0.11 - 0.29),0.97,(0.75 - 1.26)
St. Clair,6.09,(4.27 - 8.62),6.29,(4.05 - 9.62),*,(* - *),0.88,(0.60 - 1.28)
Washtenaw,5.84,(4.40 - 7.71),9.96,(7.02 - 13.94),*,(* - *),2.11,(1.52 - 2.90)
Western,*,(* - *),8.1,(5.27 - 12.24),*,(* - *),1.18,(0.79 - 1.77)
Minnesota,5.91,(4.99 - 6.99),6.41,(5.17 - 7.93),0.18,(0.12 - 0.28),1.06,(0.87 - 1.29)
Regions 1 and 2,5.56,(3.79 - 8.08),6.23,(3.99 - 9.61),*,(* - *),0.88,(0.60 - 1.28)
Regions 3 and 4,4.84,(3.41 - 6.83),6.22,(4.03 - 9.49),*,(* - *),0.98,(0.67 - 1.44)
Regions 5 and 6,6.48,(4.82 - 8.66),5.41,(3.49 - 8.28),*,(* - *),0.9,(0.62 - 1.31)
Region 7A (Hennepin),6.75,(4.86 - 9.31),7.5,(5.21 - 10.69),*,(* - *),1.29,(0.92 - 1.80)
Region 7B (Ramsey),5.62,(3.90 - 8.03),6.45,(4.15 - 9.89),*,(* - *),1.24,(0.84 - 1.82)
Region 7C,5.84,(4.35 - 7.79),6.52,(4.29 - 9.80),*,(* - *),1.06,(0.73 - 1.53)
Mississippi,4.57,(3.82 - 5.46),4.89,(3.97 - 5.99),0.14,(0.09 - 0.24),0.85,(0.70 - 1.03)
Region 1,4.95,(3.52 - 6.91),4.62,(2.99 - 7.06),*,(* - *),0.75,(0.52 - 1.09)
Region 2,4.69,(3.26 - 6.70),5.86,(3.81 - 8.89),*,(* - *),1.01,(0.69 - 1.49)
Region 3,3.51,(2.31 - 5.32),3.93,(2.52 - 6.06),*,(* - *),0.75,(0.51 - 1.11)
Region 4,4.79,(3.40 - 6.72),4.7,(3.08 - 7.10),*,(* - *),0.89,(0.62 - 1.29)
Region 5,3.97,(2.58 - 6.07),4.8,(3.10 - 7.37),*,(* - *),0.8,(0.53 - 1.18)
Region 6,4.39,(2.99 - 6.40),4.57,(2.90 - 7.15),*,(* - *),0.84,(0.56 - 1.25)
Region 7,5.11,(3.61 - 7.19),5.97,(4.03 - 8.76),*,(* - *),0.93,(0.66 - 1.30)
Missouri,5.54,(4.67 - 6.56),6.63,(5.42 - 8.09),0.17,(0.11 - 0.25),1.01,(0.84 - 1.21)
Central,5.02,(3.54 - 7.07),7.02,(4.74 - 10.28),*,(* - *),1.16,(0.82 - 1.64)
Eastern,5.73,(4.45 - 7.35),7.22,(5.26 - 9.81),0.19,(0.12 - 0.32),1.11,(0.84 - 1.47)
Eastern (St. Louis City and County),5.13,(3.70 - 7.07),6.95,(4.65 - 10.27),*,(* - *),1.1,(0.77 - 1.56)
Eastern (excluding St. Louis),6.84,(4.79 - 9.69),7.8,(4.95 - 12.09),*,(* - *),1.15,(0.78 - 1.69)
Northwest,5.62,(4.28 - 7.35),6.72,(4.77 - 9.39),*,(* - *),1,(0.75 - 1.33)
Northwest (Jackson),5.68,(3.89 - 8.22),5.82,(3.58 - 9.31),*,(* - *),0.85,(0.57 - 1.26)
Northwest (excluding Jackson),5.58,(3.89 - 7.94),7.49,(4.80 - 11.49),*,(* - *),1.14,(0.78 - 1.66)
Southeast,5.23,(3.59 - 7.57),5.27,(3.41 - 8.07),*,(* - *),0.79,(0.54 - 1.17)
Southwest,5.69,(4.09 - 7.86),6.05,(4.07 - 8.89),*,(* - *),0.88,(0.62 - 1.25)
Montana,7.09,(6.04 - 8.32),8.08,(6.59 - 9.88),0.17,(0.11 - 0.27),1.18,(0.97 - 1.43)
Region 1,8.16,(5.77 - 11.42),7.12,(4.42 - 11.27),*,(* - *),0.82,(0.54 - 1.24)
Region 2,5.58,(3.85 - 8.01),5.22,(3.15 - 8.54),*,(* - *),0.79,(0.51 - 1.21)
Region 3,6.62,(4.87 - 8.93),8.91,(6.12 - 12.81),*,(* - *),1.14,(0.82 - 1.59)
Region 4,6.75,(5.12 - 8.85),7.98,(5.75 - 10.97),*,(* - *),1.34,(1.00 - 1.81)
Region 5,8.25,(6.23 - 10.84),9.77,(6.81 - 13.83),*,(* - *),1.43,(1.02 - 2.01)
