Region 4,17.39,(13.88 - 21.56),12.56,(9.54 - 16.35),13.37,(10.61 - 16.70)
Regions 5 and 6,17.9,(14.45 - 21.96),11.79,(9.15 - 15.07),12.78,(10.34 - 15.68)
Regions 7 and 8,17.78,(14.56 - 21.54),12.69,(9.91 - 16.10),13.54,(11.05 - 16.49)
Region 10 (Jefferson),18.5,(14.78 - 22.90),10.9,(8.29 - 14.20),12.01,(9.57 - 14.97)
Maine,20.9,(18.68 - 23.31),10.88,(9.34 - 12.64),12.2,(10.79 - 13.77)
Aroostook/Downeast,19.84,(15.90 - 24.47),10.92,(8.28 - 14.27),12.03,(9.51 - 15.10)
Central,20.54,(16.84 - 24.82),11.61,(9.05 - 14.78),12.78,(10.39 - 15.63)
Cumberland,22.23,(18.57 - 26.39),10.84,(8.54 - 13.68),12.36,(10.17 - 14.94)
Midcoast,20.3,(16.35 - 24.93),10,(7.71 - 12.89),11.16,(8.95 - 13.83)
Penquis,19.97,(16.46 - 24.00),11.01,(8.48 - 14.18),12.43,(10.08 - 15.22)
Western,21.28,(17.50 - 25.62),11.38,(8.85 - 14.51),12.75,(10.37 - 15.57)
York,21.05,(17.20 - 25.50),10.41,(8.11 - 13.28),11.7,(9.48 - 14.35)
Maryland,18.16,(16.07 - 20.46),8.94,(7.55 - 10.57),10.23,(8.95 - 11.68)
Anne Arundel,17.28,(13.69 - 21.57),8.15,(6.09 - 10.81),9.42,(7.41 - 11.91)
Baltimore City,17.46,(14.01 - 21.55),12.19,(9.23 - 15.92),13.05,(10.37 - 16.30)
Baltimore County,18.17,(14.69 - 22.27),9.15,(6.98 - 11.92),10.41,(8.35 - 12.91)
Montgomery,18.04,(14.52 - 22.20),7.38,(5.60 - 9.68),8.65,(6.91 - 10.78)
North Central,18.72,(14.84 - 23.34),7.55,(5.72 - 9.89),8.94,(7.10 - 11.20)
Northeast,20.03,(15.98 - 24.79),9.76,(7.30 - 12.93),11.07,(8.71 - 13.97)
Prince George's,18.55,(15.09 - 22.59),8.36,(6.37 - 10.90),9.99,(8.06 - 12.30)
South,17.15,(13.72 - 21.22),8.46,(6.42 - 11.07),9.72,(7.75 - 12.11)
West,18.64,(14.75 - 23.28),10.56,(8.08 - 13.70),11.7,(9.35 - 14.56)
Massachusetts,20.23,(18.00 - 22.66),9.22,(7.89 - 10.75),10.77,(9.55 - 12.14)
Boston,20.65,(16.98 - 24.88),11.36,(8.86 - 14.44),13.27,(10.99 - 15.93)
Central,21.15,(17.13 - 25.83),9.65,(7.46 - 12.40),11.22,(9.12 - 13.74)
Metrowest,20.67,(17.17 - 24.68),8.18,(6.34 - 10.50),9.78,(8.00 - 11.90)
Northeast,18.78,(15.29 - 22.86),8.8,(6.91 - 11.16),10.08,(8.25 - 12.25)
Southeast,20.09,(16.52 - 24.21),9.08,(7.04 - 11.64),10.43,(8.49 - 12.76)
Western,20.21,(16.55 - 24.45),9.73,(7.40 - 12.68),11.39,(9.21 - 14.02)
Michigan,19.44,(18.17 - 20.76),10.24,(9.32 - 11.24),11.6,(10.79 - 12.47)
Bay,18.6,(15.26 - 22.47),10.06,(7.88 - 12.76),11.2,(9.14 - 13.66)
Detroit City,17.82,(14.99 - 21.06),12.73,(10.33 - 15.59),13.53,(11.37 - 16.02)
Genesee,20.19,(16.87 - 23.97),10.79,(8.64 - 13.39),12.14,(10.11 - 14.53)
Kalamazoo,19.27,(16.21 - 22.73),10.9,(8.74 - 13.51),12.26,(10.25 - 14.60)
Kent,18.16,(15.31 - 21.40),10.71,(8.58 - 13.29),11.98,(10.05 - 14.23)
Lakeshore,19.4,(16.44 - 22.75),9.64,(7.66 - 12.05),11.15,(9.29 - 13.33)
Macomb,20.25,(17.10 - 23.81),10.47,(8.54 - 12.78),11.76,(9.93 - 13.86)
Mid South,18.91,(16.23 - 21.92),9.94,(8.15 - 12.07),11.52,(9.88 - 13.39)
Northern,20.31,(17.17 - 23.87),10.82,(8.76 - 13.28),12.14,(10.22 - 14.37)
Oakland,19.96,(17.10 - 23.18),8.45,(6.94 - 10.26),9.88,(8.42 - 11.55)
Pathways,19.94,(16.28 - 24.19),11.86,(9.22 - 15.13),13.06,(10.59 - 16.01)
Saginaw,18.65,(15.14 - 22.75),10.29,(7.99 - 13.15),11.47,(9.28 - 14.11)
Southeast,20.1,(17.41 - 23.09),9.93,(8.16 - 12.04),11.29,(9.64 - 13.17)
St. Clair,17.71,(14.35 - 21.66),9.29,(7.28 - 11.79),10.42,(8.50 - 12.71)
Washtenaw,20.9,(17.47 - 24.80),9.04,(7.27 - 11.19),11.3,(9.59 - 13.29)
Western,18.55,(15.13 - 22.54),12.06,(9.25 - 15.57),13.02,(10.43 - 16.14)
Minnesota,19.2,(17.02 - 21.60),9.94,(8.48 - 11.62),11.36,(10.03 - 12.85)
Regions 1 and 2,19.3,(15.66 - 23.54),10.39,(7.89 - 13.57),11.68,(9.33 - 14.53)
Regions 3 and 4,18.83,(15.36 - 22.88),9.34,(7.27 - 11.92),10.89,(8.93 - 13.22)
Regions 5 and 6,18.86,(15.25 - 23.10),10.37,(8.05 - 13.26),11.7,(9.54 - 14.27)
Region 7A (Hennepin),18.32,(14.92 - 22.29),9.99,(7.79 - 12.73),11.24,(9.17 - 13.72)
Region 7B (Ramsey),20.09,(16.31 - 24.48),10.69,(8.15 - 13.91),12.29,(9.90 - 15.18)
Region 7C,20.36,(16.82 - 24.42),9.36,(7.32 - 11.90),10.93,(8.97 - 13.24)
Mississippi,19.01,(16.77 - 21.48),11.3,(9.65 - 13.21),12.56,(11.07 - 14.22)
Region 1,19.04,(15.51 - 23.15),11.53,(9.09 - 14.52),12.7,(10.41 - 15.40)
Region 2,17.72,(14.21 - 21.88),11.23,(8.67 - 14.42),12.32,(9.96 - 15.15)
Region 3,18.72,(15.14 - 22.93),11.07,(8.50 - 14.29),12.4,(10.03 - 15.23)
Region 4,17.56,(14.17 - 21.57),10.2,(7.92 - 13.04),11.4,(9.26 - 13.95)
Region 5,17.41,(13.92 - 21.54),10.63,(8.08 - 13.85),11.67,(9.30 - 14.55)
Region 6,20.29,(16.41 - 24.83),12.29,(9.53 - 15.70),13.71,(11.16 - 16.74)
Region 7,21.98,(18.07 - 26.45),12.16,(9.46 - 15.50),13.65,(11.14 - 16.64)
Missouri,20.85,(18.65 - 23.24),12.47,(10.77 - 14.39),13.73,(12.20 - 15.43)
Central,21.41,(17.62 - 25.75),11.97,(9.38 - 15.15),13.62,(11.23 - 16.44)
Eastern,20.83,(17.77 - 24.26),11.91,(9.83 - 14.36),13.19,(11.25 - 15.40)
Eastern (St. Louis City and County),20.43,(16.83 - 24.56),11.89,(9.45 - 14.85),13.11,(10.84 - 15.78)
Eastern (excluding St. Louis),21.64,(17.59 - 26.33),11.95,(9.33 - 15.18),13.34,(10.86 - 16.29)
Northwest,20.22,(17.11 - 23.74),12.86,(10.59 - 15.54),13.97,(11.88 - 16.35)
Northwest (Jackson),20.01,(16.13 - 24.54),13.76,(10.77 - 17.43),14.69,(11.92 - 17.95)
Northwest (excluding Jackson),20.41,(16.47 - 25.00),12.05,(9.42 - 15.29),13.32,(10.86 - 16.24)
Southeast,20.76,(17.00 - 25.11),13.64,(10.54 - 17.48),14.66,(11.81 - 18.07)
Southwest,21.38,(17.78 - 25.48),12.62,(9.95 - 15.87),13.95,(11.48 - 16.85)
Montana,19.46,(17.32 - 21.80),10.69,(9.14 - 12.47),12.02,(10.62 - 13.59)
Region 1,18.97,(15.11 - 23.55),11.8,(8.92 - 15.45),12.66,(9.96 - 15.97)
Region 2,17.84,(14.19 - 22.19),10.9,(8.38 - 14.07),11.95,(9.58 - 14.80)
Region 3,21.99,(18.26 - 26.24),12.04,(9.42 - 15.28),13.45,(10.98 - 16.38)
Region 4,19.77,(16.47 - 23.55),10.37,(8.22 - 13.00),11.94,(9.96 - 14.25)
Region 5,18.51,(15.50 - 21.95),9.63,(7.60 - 12.13),11,(9.11 - 13.23)
Nebraska,18.66,(16.48 - 21.05),11.05,(9.44 - 12.90),12.28,(10.83 - 13.91)
Regions 1 and 2,18.69,(14.90 - 23.18),11.5,(8.73 - 15.00),12.47,(9.86 - 15.64)
Region 3,19.53,(15.79 - 23.91),11.24,(8.63 - 14.53),12.52,(10.06 - 15.46)
Region 4,17.94,(14.30 - 22.27),11.38,(8.68 - 14.78),12.32,(9.81 - 15.38)
Region 5,17.58,(14.62 - 20.99),10.4,(8.17 - 13.14),11.74,(9.72 - 14.10)
Region 6,19.37,(16.18 - 23.03),11.16,(9.06 - 13.66),12.49,(10.55 - 14.72)
Nevada,19.78,(17.32 - 22.49),10.83,(9.08 - 12.88),12.06,(10.45 - 13.88)
Clark,19.21,(16.42 - 22.34),10.77,(8.78 - 13.15),11.95,(10.12 - 14.06)
Rural,21.52,(17.46 - 26.21),10.71,(8.31 - 13.69),11.97,(9.69 - 14.71)
Washoe,21.1,(17.17 - 25.66),11.23,(8.62 - 14.51),12.64,(10.16 - 15.62)
New Hampshire,21.58,(19.13 - 24.24),9.99,(8.54 - 11.67),11.58,(10.23 - 13.08)
Central,22.33,(19.07 - 25.97),10.78,(8.78 - 13.16),12.48,(10.62 - 14.60)
Central 1,22.7,(18.61 - 27.38),10.77,(8.29 - 13.90),12.78,(10.45 - 15.53)
Central 2,21.86,(17.76 - 26.61),10.78,(8.28 - 13.91),12.19,(9.81 - 15.04)
Northern,21.86,(17.78 - 26.58),11.06,(8.52 - 14.24),12.57,(10.15 - 15.47)
Southern,21.11,(18.23 - 24.31),9.39,(7.76 - 11.32),10.93,(9.38 - 12.69)
Southern 1 (Rockingham),20.75,(16.98 - 25.10),8.71,(6.82 - 11.06),10.1,(8.27 - 12.29)
Southern 2,21.29,(17.91 - 25.11),9.82,(7.77 - 12.33),11.43,(9.49 - 13.69)
New Jersey,18.45,(16.23 - 20.91),9.36,(7.94 - 11.00),10.54,(9.22 - 12.01)
Central,19.12,(15.62 - 23.20),8.47,(6.57 - 10.86),9.75,(7.92 - 11.94)
Metropolitan,17.6,(14.41 - 21.31),9.65,(7.51 - 12.32),10.78,(8.79 - 13.15)
Northern,18.79,(15.66 - 22.39),9.88,(7.80 - 12.44),11,(9.04 - 13.32)
Southern,18.35,(14.95 - 22.32),9.18,(7.11 - 11.77),10.4,(8.44 - 12.77)
New Mexico,18.16,(15.98 - 20.57),10.9,(9.20 - 12.88),12.06,(10.52 - 13.79)
Region 1,19.81,(16.05 - 24.19),11.79,(9.05 - 15.21),13.08,(10.54 - 16.11)
Region 2,16.6,(13.05 - 20.90),10.33,(7.79 - 13.58),11.17,(8.78 - 14.12)
Region 3 (Bernalillo),18.93,(15.75 - 22.57),10.84,(8.60 - 13.57),12.16,(10.11 - 14.56)
Region 4,16.96,(13.60 - 20.96),11.67,(8.84 - 15.25),12.55,(9.95 - 15.70)
Region 5,17.19,(13.97 - 20.97),10.1,(7.74 - 13.08),11.32,(9.14 - 13.93)
New York,17.72,(16.38 - 19.14),9.99,(9.02 - 11.06),11.11,(10.23 - 12.06)
Region A,16.71,(15.03 - 18.53),10.72,(9.39 - 12.21),11.63,(10.43 - 12.94)
Region 1,14.33,(11.62 - 17.55),10.9,(8.63 - 13.67),11.46,(9.42 - 13.88)
Region 2,17.46,(14.81 - 20.47),10.44,(8.56 - 12.68),11.54,(9.81 - 13.52)
Region 3,19.13,(16.02 - 22.68),13.96,(11.32 - 17.08),14.7,(12.28 - 17.51)
Region 4,15.44,(12.79 - 18.51),8.62,(6.84 - 10.80),9.61,(7.92 - 11.60)
Region B,18.79,(16.68 - 21.10),8.26,(7.06 - 9.64),9.59,(8.45 - 10.88)
Region 5,19.51,(16.60 - 22.80),8.3,(6.71 - 10.21),9.69,(8.15 - 11.48)
Region 6,18.27,(14.88 - 22.24),8.07,(6.40 - 10.13),9.31,(7.67 - 11.25)
Region 7,17.37,(14.22 - 21.04),8.45,(6.61 - 10.75),9.73,(7.96 - 11.84)
Region C,18.63,(16.81 - 20.59),10.26,(8.99 - 11.69),11.49,(10.34 - 12.76)
