Region 4,16.4,(12.73 - 20.88),65.35,(59.90 - 70.41),60.05,(53.82 - 65.97),60.92,(55.51 - 66.08)
Region 5,16.79,(13.06 - 21.33),*,(* - *),*,(* - *),48.8,(42.11 - 55.54)
Region 6,13.95,(10.43 - 18.43),*,(* - *),*,(* - *),40.78,(34.44 - 47.44)
Region 7,12.43,(9.08 - 16.78),*,(* - *),*,(* - *),*,(* - *)
Illinois,16.98,(15.75 - 18.28),64.67,(63.00 - 66.31),55.88,(54.02 - 57.72),57.21,(55.60 - 58.80)
Region I (Cook),17.62,(15.65 - 19.78),63.76,(61.18 - 66.26),55.96,(53.12 - 58.77),57.16,(54.70 - 59.58)
Region II,16.23,(14.34 - 18.31),66.18,(63.18 - 69.06),60.45,(57.51 - 63.31),61.27,(58.68 - 63.79)
Region III,17.15,(14.34 - 20.38),65.35,(61.32 - 69.16),52.74,(48.09 - 57.35),54.93,(50.94 - 58.85)
Region IV,18.21,(14.87 - 22.09),63.85,(58.55 - 68.83),51.81,(46.35 - 57.22),53.55,(48.68 - 58.35)
Region V,15.51,(12.76 - 18.72),64.07,(59.67 - 68.25),47.96,(42.90 - 53.06),50.36,(45.91 - 54.82)
Indiana,15.48,(13.52 - 17.66),61.23,(58.13 - 64.24),52.41,(49.10 - 55.70),53.76,(50.86 - 56.64)
Central,14.94,(11.84 - 18.69),62.12,(56.40 - 67.53),58.44,(52.49 - 64.15),58.96,(53.66 - 64.06)
East,14.15,(10.65 - 18.55),*,(* - *),*,(* - *),*,(* - *)
North Central,14.68,(11.20 - 19.00),*,(* - *),*,(* - *),51.9,(45.60 - 58.15)
Northeast,14.4,(10.91 - 18.76),*,(* - *),*,(* - *),50.8,(44.02 - 57.56)
Northwest,16.57,(12.83 - 21.13),59.65,(52.84 - 66.11),*,(* - *),57.23,(50.88 - 63.36)
Southeast,17.88,(13.79 - 22.85),*,(* - *),*,(* - *),*,(* - *)
Southwest,17.04,(12.96 - 22.07),*,(* - *),*,(* - *),*,(* - *)
West,15.31,(11.61 - 19.93),66.41,(60.12 - 72.16),*,(* - *),55.54,(49.26 - 61.65)
Iowa,18.59,(16.39 - 21.02),69.07,(66.02 - 71.97),54.87,(51.57 - 58.13),57.08,(54.15 - 59.95)
Central,19.21,(15.08 - 24.14),67.42,(60.81 - 73.41),*,(* - *),56.66,(50.49 - 62.64)
North Central,16.24,(12.21 - 21.27),70.98,(64.49 - 76.71),*,(* - *),57.13,(50.46 - 63.56)
Northeast,20.78,(16.93 - 25.23),76.65,(71.51 - 81.11),62.12,(56.14 - 67.76),64.4,(59.15 - 69.32)
Northwest,19.16,(15.15 - 23.93),*,(* - *),51.75,(45.30 - 58.15),53.5,(47.64 - 59.26)
Southeast,16.77,(13.03 - 21.33),65.71,(59.56 - 71.37),51.47,(45.35 - 57.54),53.83,(48.41 - 59.17)
Southwest,17.83,(13.87 - 22.62),*,(* - *),*,(* - *),*,(* - *)
Kansas,20.12,(17.70 - 22.78),66.86,(63.52 - 70.04),53.61,(50.03 - 57.15),55.76,(52.61 - 58.86)
Kansas City Metro,21.33,(17.48 - 25.77),70.74,(65.84 - 75.20),60.63,(54.92 - 66.06),62.31,(57.36 - 67.02)
Northeast,20.16,(16.12 - 24.92),69.93,(63.43 - 75.71),53.92,(47.37 - 60.34),56.71,(50.91 - 62.32)
South Central,18.12,(14.21 - 22.83),*,(* - *),*,(* - *),46.26,(40.16 - 52.48)
Southeast,20.43,(15.62 - 26.25),*,(* - *),*,(* - *),*,(* - *)
West,20.74,(16.33 - 25.97),*,(* - *),*,(* - *),*,(* - *)
Wichita (Sedgwick),18.89,(14.65 - 24.01),67.14,(60.99 - 72.75),54.83,(48.31 - 61.18),56.77,(50.99 - 62.38)
Kentucky,17.1,(15.09 - 19.32),56.16,(52.92 - 59.34),43,(39.69 - 46.38),44.87,(41.93 - 47.85)
"Adanta, Cumberland River, and Lifeskills",17.24,(13.47 - 21.79),48.05,(41.30 - 54.86),*,(* - *),37.83,(31.94 - 44.09)
"Bluegrass, Comprehend, and North Key",18.44,(14.96 - 22.52),59.62,(54.12 - 64.88),46.95,(41.31 - 52.67),48.91,(43.97 - 53.88)
Communicare and River Valley,15.67,(11.90 - 20.35),*,(* - *),*,(* - *),41.53,(35.31 - 48.02)
Four Rivers and Pennyroyal,17.92,(13.81 - 22.92),*,(* - *),*,(* - *),43.25,(36.66 - 50.09)
"Kentucky River, Mountain, and Pathways",13.98,(10.82 - 17.87),44.49,(38.02 - 51.16),*,(* - *),30.42,(25.16 - 36.24)
Seven Counties,17.36,(13.92 - 21.44),64.33,(58.20 - 70.02),54.23,(48.22 - 60.13),55.53,(50.06 - 60.87)
Louisiana,17.44,(15.39 - 19.70),58.46,(55.18 - 61.66),51.15,(47.69 - 54.60),52.37,(49.36 - 55.36)
Region 1,13.49,(9.66 - 18.54),*,(* - *),*,(* - *),*,(* - *)
Regions 2 and 9,19.6,(15.88 - 23.95),60.07,(54.70 - 65.21),56.95,(51.19 - 62.53),57.5,(52.53 - 62.32)
Region 3,17.61,(13.61 - 22.48),*,(* - *),*,(* - *),53,(46.29 - 59.60)
Region 4,17.71,(13.88 - 22.33),*,(* - *),*,(* - *),50.52,(43.81 - 57.21)
Regions 5 and 6,19.89,(15.64 - 24.96),*,(* - *),*,(* - *),50.32,(44.17 - 56.46)
Regions 7 and 8,14.56,(11.50 - 18.27),54.8,(48.50 - 60.96),42.26,(35.97 - 48.81),44.37,(38.78 - 50.10)
Region 10 (Jefferson),19.09,(14.69 - 24.43),*,(* - *),*,(* - *),*,(* - *)
Maine,18.66,(16.45 - 21.08),65.69,(62.70 - 68.56),54.77,(51.42 - 58.07),56.2,(53.22 - 59.14)
Aroostook/Downeast,18.44,(14.24 - 23.54),*,(* - *),*,(* - *),*,(* - *)
Central,18.11,(14.18 - 22.84),61.36,(54.76 - 67.57),*,(* - *),*,(* - *)
Cumberland,19.33,(15.31 - 24.10),72.01,(66.45 - 76.97),64.05,(58.06 - 69.63),65.11,(59.73 - 70.13)
Midcoast,18.89,(14.68 - 23.96),*,(* - *),*,(* - *),*,(* - *)
Penquis,19.05,(14.76 - 24.24),67.31,(61.02 - 73.04),*,(* - *),56.86,(50.12 - 63.35)
Western,19.5,(15.27 - 24.56),62.79,(56.44 - 68.73),*,(* - *),53.09,(46.78 - 59.30)
York,17.07,(13.36 - 21.55),*,(* - *),57.27,(50.46 - 63.82),58.52,(52.27 - 64.52)
Maryland,15.73,(13.85 - 17.81),62.8,(59.58 - 65.91),56.41,(52.94 - 59.82),57.31,(54.21 - 60.35)
Anne Arundel,17.46,(13.37 - 22.47),*,(* - *),*,(* - *),*,(* - *)
Baltimore City,13.02,(9.82 - 17.07),57.03,(50.19 - 63.61),*,(* - *),48.78,(42.37 - 55.22)
Baltimore County,16.59,(12.79 - 21.25),67.1,(60.91 - 72.76),*,(* - *),*,(* - *)
Montgomery,17.16,(13.38 - 21.75),*,(* - *),*,(* - *),61.56,(55.07 - 67.66)
North Central,19.31,(14.74 - 24.87),*,(* - *),*,(* - *),*,(* - *)
Northeast,18.88,(14.49 - 24.23),*,(* - *),*,(* - *),*,(* - *)
Prince George's,9.69,(7.09 - 13.10),53.53,(46.78 - 60.16),*,(* - *),46.86,(40.59 - 53.23)
South,16.57,(12.81 - 21.18),*,(* - *),*,(* - *),*,(* - *)
West,17.26,(13.29 - 22.12),*,(* - *),*,(* - *),*,(* - *)
Massachusetts,19.18,(16.89 - 21.69),71.06,(68.01 - 73.93),62.4,(59.11 - 65.58),63.62,(60.69 - 66.46)
Boston,16.48,(12.44 - 21.51),67.92,(61.89 - 73.40),58.14,(51.36 - 64.62),60.16,(54.29 - 65.75)
Central,18.19,(13.90 - 23.45),72.17,(65.64 - 77.87),*,(* - *),62.65,(56.10 - 68.77)
Metrowest,18.44,(14.78 - 22.78),75.54,(69.82 - 80.47),66.64,(60.67 - 72.13),67.78,(62.37 - 72.75)
Northeast,19.95,(15.94 - 24.69),67.4,(61.16 - 73.08),59.77,(53.60 - 65.64),60.74,(55.14 - 66.07)
Southeast,21.58,(17.28 - 26.60),71.92,(65.76 - 77.35),64.17,(57.82 - 70.05),65.12,(59.36 - 70.46)
Western,19,(14.86 - 23.98),70.88,(64.91 - 76.21),*,(* - *),62.33,(55.95 - 68.31)
Michigan,16.58,(15.48 - 17.75),67.54,(65.97 - 69.07),57.98,(56.20 - 59.73),59.4,(57.84 - 60.93)
Bay,19.99,(16.09 - 24.55),*,(* - *),53.39,(46.88 - 59.79),55.42,(49.49 - 61.20)
Detroit City,10.36,(8.26 - 12.90),51.68,(46.64 - 56.69),42.87,(37.74 - 48.16),44.26,(39.72 - 48.90)
Genesee,15.63,(12.58 - 19.24),66.34,(60.61 - 71.63),55.47,(49.50 - 61.28),57.03,(51.69 - 62.22)
Kalamazoo,17.01,(14.00 - 20.50),68.07,(63.18 - 72.60),55.59,(49.97 - 61.08),57.63,(52.77 - 62.34)
Kent,16.62,(13.50 - 20.31),69.12,(64.34 - 73.52),58.33,(52.31 - 64.11),60.18,(54.98 - 65.16)
Lakeshore,18.89,(15.58 - 22.71),62.37,(57.25 - 67.23),55.01,(49.48 - 60.42),56.15,(51.28 - 60.91)
Macomb,18.99,(15.82 - 22.61),71.58,(66.69 - 76.01),61.94,(56.99 - 66.65),63.21,(58.76 - 67.44)
Mid South,17.39,(14.44 - 20.78),74.87,(70.85 - 78.51),56.4,(51.48 - 61.19),59.66,(55.43 - 63.75)
Northern,16.53,(13.62 - 19.93),68.72,(63.83 - 73.22),56.2,(50.89 - 61.36),57.94,(53.25 - 62.49)
Oakland,16.96,(14.37 - 19.93),69.15,(64.75 - 73.22),65.96,(61.74 - 69.95),66.35,(62.58 - 69.93)
Pathways,*,(* - *),*,(* - *),*,(* - *),*,(* - *)
Saginaw,17.6,(13.56 - 22.53),*,(* - *),*,(* - *),*,(* - *)
Southeast,16.19,(13.56 - 19.21),66.45,(62.44 - 70.25),59.65,(55.17 - 63.97),60.55,(56.58 - 64.39)
St. Clair,17.9,(13.86 - 22.81),*,(* - *),*,(* - *),63.19,(56.57 - 69.35)
Washtenaw,16.68,(13.67 - 20.18),73.52,(68.57 - 77.95),67.87,(62.36 - 72.92),68.95,(64.21 - 73.33)
Western,*,(* - *),*,(* - *),*,(* - *),*,(* - *)
Minnesota,18.42,(16.06 - 21.03),70.87,(67.75 - 73.81),64.44,(61.11 - 67.64),65.43,(62.48 - 68.26)
Regions 1 and 2,21.19,(16.29 - 27.09),*,(* - *),*,(* - *),*,(* - *)
Regions 3 and 4,18.54,(14.59 - 23.26),68.69,(62.44 - 74.32),62.06,(55.79 - 67.96),63.15,(57.57 - 68.40)
Regions 5 and 6,21.97,(17.77 - 26.85),69.14,(62.80 - 74.84),63.18,(56.77 - 69.17),64.12,(58.43 - 69.43)
Region 7A (Hennepin),16.13,(12.53 - 20.53),71.04,(65.34 - 76.14),66.17,(60.04 - 71.80),66.9,(61.47 - 71.91)
Region 7B (Ramsey),15.58,(11.65 - 20.55),*,(* - *),*,(* - *),*,(* - *)
Region 7C,17,(13.38 - 21.37),73.9,(67.99 - 79.06),70.73,(64.99 - 75.88),71.18,(65.98 - 75.88)
Mississippi,14.16,(12.27 - 16.29),48.6,(45.39 - 51.82),37.54,(34.36 - 40.82),39.34,(36.55 - 42.21)
Region 1,13.65,(10.32 - 17.84),48.55,(41.99 - 55.16),33.71,(28.07 - 39.85),36.02,(30.91 - 41.46)
Region 2,13.84,(10.72 - 17.69),*,(* - *),35.39,(29.17 - 42.15),36.45,(30.85 - 42.45)
Region 3,13.48,(10.22 - 17.57),47.94,(41.51 - 54.44),*,(* - *),35.9,(30.19 - 42.04)
Region 4,14.89,(11.54 - 19.01),51.93,(45.33 - 58.45),46.37,(39.73 - 53.15),47.29,(41.35 - 53.30)
Region 5,12.98,(9.59 - 17.34),*,(* - *),*,(* - *),*,(* - *)
Region 6,14.03,(10.65 - 18.26),*,(* - *),*,(* - *),36.18,(30.24 - 42.56)
Region 7,15.55,(12.00 - 19.91),55.57,(49.06 - 61.88),43.31,(36.70 - 50.16),45.18,(39.25 - 51.24)
Missouri,18.36,(16.24 - 20.69),65.59,(62.39 - 68.65),50.21,(46.72 - 53.69),52.53,(49.47 - 55.57)
Central,17.27,(13.44 - 21.92),67.28,(60.87 - 73.11),*,(* - *),48.27,(42.19 - 54.40)
Eastern,19.01,(15.95 - 22.50),70.39,(65.81 - 74.60),57.74,(52.66 - 62.66),59.55,(55.03 - 63.92)
Eastern (St. Louis City and County),16.94,(13.58 - 20.94),70.62,(64.91 - 75.74),57.64,(51.53 - 63.53),59.5,(54.04 - 64.74)
Eastern (excluding St. Louis),22.67,(17.80 - 28.42),*,(* - *),*,(* - *),59.65,(53.00 - 65.97)
Northwest,18.01,(14.83 - 21.69),66.62,(61.16 - 71.66),52.79,(47.09 - 58.43),54.87,(49.74 - 59.90)
Northwest (Jackson),17.1,(13.08 - 22.04),*,(* - *),*,(* - *),*,(* - *)
Northwest (excluding Jackson),18.79,(14.60 - 23.85),*,(* - *),*,(* - *),53.04,(46.20 - 59.75)
Southeast,20.35,(15.95 - 25.59),*,(* - *),*,(* - *),*,(* - *)
Southwest,16.72,(13.03 - 21.21),59.86,(53.51 - 65.89),41.74,(35.46 - 48.31),44.51,(38.88 - 50.27)
Montana,21.43,(19.02 - 24.06),70.47,(67.45 - 73.32),58.36,(54.84 - 61.80),60.2,(57.12 - 63.20)
Region 1,22.73,(17.90 - 28.41),*,(* - *),*,(* - *),*,(* - *)
Region 2,20.68,(16.43 - 25.71),*,(* - *),*,(* - *),55.57,(48.93 - 62.02)
Region 3,22.32,(18.16 - 27.12),70.38,(64.61 - 75.56),56.46,(50.03 - 62.68),58.43,(52.70 - 63.95)
Region 4,19.31,(15.63 - 23.63),75.17,(70.59 - 79.24),62.21,(56.37 - 67.71),64.37,(59.32 - 69.13)
Region 5,22.59,(18.62 - 27.13),70.3,(65.34 - 74.82),59.81,(54.14 - 65.23),61.43,(56.47 - 66.18)
Nebraska,18.55,(16.30 - 21.03),71.52,(68.44 - 74.42),56.21,(52.73 - 59.64),58.69,(55.65 - 61.67)
Regions 1 and 2,19.85,(15.15 - 25.56),*,(* - *),*,(* - *),*,(* - *)
Region 3,20.03,(15.32 - 25.75),*,(* - *),*,(* - *),*,(* - *)
Region 4,19.17,(15.22 - 23.84),*,(* - *),*,(* - *),50.06,(43.58 - 56.53)
Region 5,19.08,(15.47 - 23.30),74.24,(69.48 - 78.48),56.84,(50.86 - 62.63),60.1,(54.95 - 65.03)
Region 6,17.11,(13.98 - 20.78),74,(69.36 - 78.16),58.48,(53.49 - 63.30),61,(56.64 - 65.19)
