Colorado,30.01,(27.04 - 33.17),19.33,(16.89 - 22.03),34.51,(31.47 - 37.67),32.26,(29.61 - 35.03)
Region 1,32.56,(26.56 - 39.18),18.62,(14.60 - 23.44),35.24,(29.50 - 41.43),32.31,(27.42 - 37.62)
Regions 2 and 7,26.49,(22.83 - 30.50),18.15,(15.17 - 21.57),33.23,(29.35 - 37.34),31.06,(27.68 - 34.64)
Region 3,*,(* - *),19.98,(15.63 - 25.19),32.88,(27.12 - 39.21),30.99,(25.89 - 36.60)
Region 4,*,(* - *),*,(* - *),*,(* - *),43.67,(37.59 - 49.95)
Regions 5 and 6,*,(* - *),21.5,(16.69 - 27.23),*,(* - *),33.98,(28.32 - 40.13)
Connecticut,29.67,(26.77 - 32.74),20.58,(17.98 - 23.46),36.62,(33.29 - 40.07),34.49,(31.54 - 37.57)
Eastern,28.82,(23.13 - 35.28),17.67,(13.36 - 23.00),36.8,(30.62 - 43.44),33.56,(28.24 - 39.32)
North Central,31.55,(26.80 - 36.72),22.95,(18.84 - 27.66),39.9,(34.47 - 45.60),37.73,(32.90 - 42.81)
Northwestern,27.8,(23.07 - 33.07),20.88,(16.51 - 26.05),33.63,(27.96 - 39.82),32.08,(26.96 - 37.67)
South Central,29.25,(24.53 - 34.46),17.86,(14.17 - 22.27),36.26,(31.04 - 41.82),33.72,(29.12 - 38.65)
Southwest,29.76,(24.52 - 35.60),22.96,(18.39 - 28.27),34.87,(29.21 - 40.98),33.44,(28.33 - 38.97)
Delaware,36.03,(32.98 - 39.20),21.98,(19.38 - 24.82),41.91,(38.67 - 45.21),38.99,(36.17 - 41.89)
Kent,38.64,(32.89 - 44.74),26.96,(22.15 - 32.38),48.51,(41.93 - 55.15),45.1,(39.46 - 50.87)
New Castle (excluding Wilmington City),32.91,(29.04 - 37.02),18.44,(15.44 - 21.87),37.78,(33.73 - 42.00),34.77,(31.29 - 38.42)
Sussex,41.29,(35.21 - 47.65),27.16,(22.20 - 32.76),45.49,(39.55 - 51.56),43.46,(38.08 - 49.01)
Wilmington City,*,(* - *),*,(* - *),*,(* - *),*,(* - *)
District of Columbia,29.98,(26.30 - 33.94),17.45,(15.09 - 20.08),34.31,(31.19 - 37.57),31.61,(28.90 - 34.46)
Ward 1,*,(* - *),18.07,(13.64 - 23.56),31.84,(25.92 - 38.41),29.37,(24.21 - 35.11)
Ward 2,*,(* - *),13.26,(10.15 - 17.13),26.08,(21.13 - 31.73),22.9,(18.88 - 27.49)
Ward 3,*,(* - *),11.26,(8.23 - 15.24),18.94,(14.79 - 23.92),17.72,(14.07 - 22.09)
Ward 4,*,(* - *),*,(* - *),*,(* - *),38.75,(32.72 - 45.15)
Ward 5,*,(* - *),16.54,(12.56 - 21.47),41.55,(35.42 - 47.95),37.96,(32.60 - 43.63)
Ward 6,*,(* - *),16.91,(12.75 - 22.07),30.82,(25.04 - 37.28),28.99,(23.78 - 34.82)
Ward 7,32.47,(27.18 - 38.26),24.58,(19.41 - 30.60),*,(* - *),45.52,(39.28 - 51.91)
Ward 8,34.69,(29.09 - 40.75),25.94,(20.69 - 31.99),45.53,(38.99 - 52.23),42,(36.41 - 47.80)
Florida,35.51,(33.98 - 37.07),28.16,(26.61 - 29.76),46.09,(44.32 - 47.87),43.76,(42.20 - 45.33)
Region A,33.77,(30.19 - 37.54),22.99,(20.10 - 26.15),43.87,(39.89 - 47.93),40.18,(36.81 - 43.64)
Circuit 1,35.34,(29.95 - 41.13),23.7,(19.12 - 29.00),44.76,(38.84 - 50.83),41.49,(36.38 - 46.79)
Circuit 2,29.01,(23.43 - 35.31),20.32,(16.32 - 25.02),42.22,(35.91 - 48.79),36.98,(31.93 - 42.33)
Circuit 14,*,(* - *),27.37,(21.97 - 33.53),*,(* - *),41.49,(35.58 - 47.65)
Region B,34.98,(31.82 - 38.28),23.64,(20.97 - 26.54),42.45,(38.97 - 46.00),39.51,(36.50 - 42.61)
Circuits 3 and 8,36.42,(30.53 - 42.73),24.55,(20.21 - 29.47),44.78,(38.83 - 50.89),40.47,(35.54 - 45.61)
Circuit 4,35.01,(30.51 - 39.79),23.88,(19.96 - 28.30),40.78,(35.57 - 46.20),38.16,(33.63 - 42.91)
Circuit 7,33.66,(28.36 - 39.40),21.99,(17.65 - 27.06),43.08,(37.23 - 49.13),40.63,(35.37 - 46.11)
Region C,35.22,(32.63 - 37.90),27.49,(25.20 - 29.90),44.32,(41.52 - 47.16),42.18,(39.69 - 44.71)
Circuit 5,35.28,(30.58 - 40.29),26.55,(22.00 - 31.65),47.98,(42.21 - 53.82),46.02,(40.73 - 51.40)
Circuit 9,36.55,(31.92 - 41.45),29.44,(25.62 - 33.57),46.09,(41.03 - 51.23),43.28,(38.96 - 47.70)
Circuit 10,36.72,(31.07 - 42.76),32.99,(27.42 - 39.08),47.19,(41.24 - 53.23),45.36,(40.04 - 50.78)
Circuit 18,32.76,(27.98 - 37.94),20.75,(17.06 - 24.98),38.05,(32.99 - 43.39),35.95,(31.42 - 40.75)
Circuit 19,34.02,(28.17 - 40.39),26.66,(21.51 - 32.53),41.36,(35.02 - 48.00),39.88,(34.06 - 45.99)
Region D,36.43,(34.05 - 38.87),32.83,(30.30 - 35.47),51.13,(48.52 - 53.73),48.85,(46.53 - 51.18)
Circuits 11 and 16,37.19,(33.43 - 41.10),35.43,(31.63 - 39.42),59.04,(55.05 - 62.92),55.82,(52.30 - 59.28)
Circuit 15 (Palm Beach),36.6,(31.93 - 41.53),31.09,(26.77 - 35.76),44.64,(39.83 - 49.54),43.21,(38.83 - 47.69)
Circuit 17 (Broward),35.17,(31.29 - 39.25),29.68,(25.86 - 33.80),44.62,(40.36 - 48.96),42.81,(39.01 - 46.70)
Region E,35.59,(32.93 - 38.35),28.04,(25.51 - 30.72),43.8,(40.86 - 46.79),42.05,(39.41 - 44.75)
Circuit 6,35.16,(30.42 - 40.21),24.83,(20.77 - 29.39),43.02,(38.17 - 48.00),41.22,(36.81 - 45.79)
Circuit 12,36.62,(30.94 - 42.71),29.51,(24.31 - 35.30),45.08,(39.02 - 51.28),43.63,(38.07 - 49.36)
Circuit 13 (Hillsborough),35.74,(31.02 - 40.76),29.98,(25.63 - 34.72),44.51,(39.34 - 49.80),42.32,(37.81 - 46.97)
Circuit 20,35.27,(30.40 - 40.46),28.25,(23.66 - 33.35),43.28,(38.05 - 48.66),41.79,(37.03 - 46.70)
Georgia,38,(34.79 - 41.33),31.66,(28.65 - 34.84),46.6,(43.07 - 50.16),44.32,(41.26 - 47.43)
Region 1,38.19,(32.37 - 44.36),34.55,(28.77 - 40.82),48.96,(42.56 - 55.39),46.93,(41.25 - 52.70)
Region 2,42.68,(36.38 - 49.23),31.2,(26.02 - 36.89),48.36,(41.96 - 54.82),45.69,(40.10 - 51.38)
Region 3,36.29,(31.48 - 41.39),29.95,(25.86 - 34.39),43.49,(38.64 - 48.47),41.47,(37.29 - 45.77)
Region 4,*,(* - *),33.77,(28.00 - 40.07),49.66,(43.24 - 56.08),47.24,(41.59 - 52.95)
Region 5,38.2,(32.13 - 44.66),32.78,(26.80 - 39.38),49.09,(42.66 - 55.56),46.32,(40.69 - 52.04)
Hawaii,34.14,(30.84 - 37.60),28.81,(25.53 - 32.33),39.93,(36.25 - 43.74),38.46,(35.19 - 41.83)
Hawaii Island,*,(* - *),26.28,(20.74 - 32.69),*,(* - *),38.36,(32.47 - 44.60)
Honolulu,35.37,(31.45 - 39.49),29.72,(26.00 - 33.72),40.98,(36.65 - 45.44),39.41,(35.62 - 43.34)
Kauai and Maui**,30.63,(25.39 - 36.42),25.98,(21.21 - 31.39),35.31,(29.87 - 41.16),34.23,(29.26 - 39.56)
Maui,*,(* - *),25.72,(20.45 - 31.80),*,(* - *),32.46,(26.85 - 38.63)
Idaho,37.44,(34.35 - 40.64),26.73,(24.00 - 29.66),41.05,(37.94 - 44.24),38.67,(35.99 - 41.42)
Region 1,33.69,(27.68 - 40.29),21.9,(17.37 - 27.21),35.87,(30.08 - 42.09),34.07,(28.93 - 39.62)
Region 2,*,(* - *),20.25,(15.55 - 25.93),*,(* - *),35.51,(29.84 - 41.61)
Region 3,33.49,(28.02 - 39.44),30.29,(24.84 - 36.36),43.32,(37.87 - 48.93),41.25,(36.46 - 46.20)
Region 4,34.51,(29.54 - 39.84),22.33,(18.41 - 26.82),37.15,(31.95 - 42.65),34.71,(30.24 - 39.47)
Region 5,42.24,(35.69 - 49.08),32.45,(26.42 - 39.12),45.97,(39.89 - 52.18),43.93,(38.54 - 49.47)
Region 6,*,(* - *),27.63,(22.42 - 33.53),44.42,(38.02 - 51.00),41.21,(35.73 - 46.92)
Region 7,*,(* - *),34.07,(28.28 - 40.37),*,(* - *),44.87,(39.14 - 50.74)
Illinois,35.65,(34.02 - 37.32),25.4,(23.87 - 27.00),41.83,(40.08 - 43.60),39.34,(37.82 - 40.88)
Region I (Cook),34.04,(31.50 - 36.68),26.65,(24.23 - 29.22),41.9,(39.20 - 44.64),39.56,(37.22 - 41.96)
Region II,34.27,(31.64 - 36.99),23.54,(21.14 - 26.13),38.09,(35.21 - 41.05),36,(33.49 - 38.60)
Region III,37.55,(33.52 - 41.77),23.39,(20.21 - 26.90),45.14,(40.84 - 49.52),41.38,(37.74 - 45.12)
Region IV,40.67,(35.75 - 45.79),27.5,(23.34 - 32.10),47.31,(42.23 - 52.45),44.45,(40.03 - 48.97)
Region V,41.2,(36.74 - 45.82),26.38,(22.83 - 30.28),45.1,(40.19 - 50.11),42.31,(38.09 - 46.65)
Indiana,34.94,(31.92 - 38.08),24.17,(21.64 - 26.90),41.89,(38.67 - 45.18),39.17,(36.37 - 42.05)
Central,35.71,(30.67 - 41.09),24.28,(20.02 - 29.12),39.69,(34.41 - 45.22),37.5,(32.86 - 42.38)
East,*,(* - *),23.98,(18.99 - 29.78),*,(* - *),38.74,(32.98 - 44.84)
North Central,36.15,(30.28 - 42.46),24.84,(19.84 - 30.62),42.23,(35.94 - 48.79),39.63,(34.08 - 45.47)
Northeast,37.4,(31.10 - 44.16),28.62,(23.13 - 34.82),46.04,(39.40 - 52.83),43.42,(37.56 - 49.46)
Northwest,33.01,(27.32 - 39.24),23.06,(18.52 - 28.31),43.28,(37.35 - 49.41),40.43,(35.21 - 45.88)
Southeast,*,(* - *),24.47,(19.16 - 30.70),44.32,(37.84 - 51.00),41.61,(35.86 - 47.60)
Southwest,*,(* - *),22.5,(17.47 - 28.49),*,(* - *),38.06,(32.14 - 44.36)
West,33.57,(27.70 - 39.98),22.17,(17.88 - 27.16),39.92,(33.73 - 46.45),36.04,(30.92 - 41.49)
Iowa,36.29,(33.20 - 39.50),23.91,(21.33 - 26.70),42.56,(39.42 - 45.77),39.67,(36.96 - 42.45)
Central,31.99,(26.41 - 38.14),23.88,(19.13 - 29.37),39.4,(33.41 - 45.72),37.1,(31.85 - 42.67)
North Central,37.93,(31.62 - 44.69),22.51,(17.75 - 28.10),43.24,(36.91 - 49.80),39.4,(34.07 - 45.00)
Northeast,35.93,(30.95 - 41.23),22.76,(18.78 - 27.31),42.94,(37.95 - 48.08),39.78,(35.48 - 44.25)
Northwest,35.79,(29.99 - 42.03),27.91,(22.51 - 34.03),43.73,(37.81 - 49.84),41.54,(36.29 - 46.99)
Southeast,38.57,(32.75 - 44.73),22.49,(18.17 - 27.49),41.99,(36.51 - 47.67),38.75,(34.00 - 43.73)
Southwest,*,(* - *),26.63,(21.50 - 32.48),*,(* - *),43.11,(37.15 - 49.27)
Kansas,37.9,(34.72 - 41.18),24.1,(21.36 - 27.08),43.57,(40.29 - 46.91),40.42,(37.58 - 43.33)
Kansas City Metro,34.77,(30.02 - 39.84),19.52,(15.82 - 23.83),37.64,(32.80 - 42.74),34.63,(30.48 - 39.03)
Northeast,36.48,(31.07 - 42.27),22.99,(18.26 - 28.53),43.89,(37.84 - 50.12),40.26,(35.03 - 45.72)
South Central,40.88,(35.04 - 47.00),27.75,(22.30 - 33.95),49.53,(43.07 - 56.02),46.29,(40.59 - 52.09)
Southeast,*,(* - *),*,(* - *),*,(* - *),44.02,(37.42 - 50.84)
West,39.72,(33.30 - 46.51),*,(* - *),52.85,(46.18 - 59.42),49.71,(43.85 - 55.58)
Wichita (Sedgwick),*,(* - *),24.45,(19.81 - 29.79),41.58,(35.76 - 47.64),38.87,(33.81 - 44.19)
Kentucky,37.44,(34.53 - 40.43),28.67,(25.86 - 31.66),46.58,(43.32 - 49.86),44.03,(41.17 - 46.92)
"Adanta, Cumberland River, and Lifeskills",39.77,(33.84 - 46.01),30.39,(25.12 - 36.22),49.13,(43.10 - 55.18),46.47,(41.16 - 51.87)
"Bluegrass, Comprehend, and North Key",33.84,(29.09 - 38.94),26,(21.71 - 30.81),44.03,(38.59 - 49.62),41.23,(36.53 - 46.10)
Communicare and River Valley,38.95,(32.72 - 45.57),29.49,(23.94 - 35.72),49.18,(42.61 - 55.77),46.45,(40.61 - 52.39)
Four Rivers and Pennyroyal,*,(* - *),*,(* - *),50.71,(43.99 - 57.40),48.08,(42.11 - 54.11)
"Kentucky River, Mountain, and Pathways",43.31,(37.44 - 49.37),33.61,(28.25 - 39.42),53.13,(46.77 - 59.40),50.39,(44.76 - 56.01)
Seven Counties,34.29,(29.36 - 39.58),26.15,(21.59 - 31.29),41.11,(35.80 - 46.64),39.18,(34.44 - 44.14)
Louisiana,39.42,(36.30 - 42.62),28.3,(25.53 - 31.24),48.1,(44.79 - 51.42),44.81,(41.98 - 47.67)
Region 1,*,(* - *),*,(* - *),*,(* - *),43.66,(37.39 - 50.14)
Regions 2 and 9,37.21,(32.17 - 42.53),27.92,(23.58 - 32.72),45.03,(39.65 - 50.52),42.03,(37.47 - 46.74)
Region 3,*,(* - *),29.44,(23.73 - 35.86),47.65,(41.16 - 54.23),44.68,(39.00 - 50.51)
Region 4,41.65,(35.51 - 48.07),29.97,(24.59 - 35.96),49.6,(42.86 - 56.34),46.3,(40.55 - 52.15)
Regions 5 and 6,*,(* - *),28.51,(23.47 - 34.15),49.54,(43.36 - 55.74),46.16,(40.80 - 51.60)
Regions 7 and 8,40.43,(34.88 - 46.24),28.5,(23.62 - 33.95),54.07,(48.16 - 59.87),49.78,(44.74 - 54.83)
Region 10 (Jefferson),*,(* - *),26.06,(20.65 - 32.32),*,(* - *),39.95,(34.01 - 46.19)
Maine,27.07,(24.30 - 30.03),14.81,(12.72 - 17.18),35.87,(32.59 - 39.29),33.1,(30.21 - 36.12)
Aroostook/Downeast,27.47,(22.03 - 33.66),16.56,(12.43 - 21.73),*,(* - *),33,(27.24 - 39.31)
Central,27.54,(22.22 - 33.58),15.12,(11.56 - 19.52),38.55,(32.20 - 45.31),35.47,(29.89 - 41.48)
Cumberland,26.32,(21.49 - 31.79),12.84,(9.82 - 16.62),31.17,(26.35 - 36.43),28.72,(24.49 - 33.36)
Midcoast,27.98,(22.50 - 34.20),13.83,(10.25 - 18.40),*,(* - *),33.54,(27.85 - 39.75)
Penquis,27.63,(22.04 - 34.03),14.49,(11.16 - 18.59),*,(* - *),35.94,(30.39 - 41.88)
Western,25.67,(20.47 - 31.67),16.04,(12.43 - 20.44),37.04,(31.05 - 43.46),34.13,(28.88 - 39.81)
York,27.57,(22.46 - 33.34),15.82,(12.08 - 20.44),36.06,(30.32 - 42.22),33.61,(28.50 - 39.14)
Maryland,34.53,(31.64 - 37.55),25.93,(23.20 - 28.86),43.64,(40.27 - 47.06),41.15,(38.19 - 44.18)
Anne Arundel,*,(* - *),*,(* - *),*,(* - *),38.48,(32.47 - 44.86)
Baltimore City,35.99,(29.82 - 42.67),29.67,(24.08 - 35.93),49.15,(42.44 - 55.89),45.95,(40.18 - 51.84)
Baltimore County,35.34,(29.51 - 41.65),25.08,(20.42 - 30.39),*,(* - *),41.48,(35.48 - 47.75)
Montgomery,31.46,(25.85 - 37.66),24.13,(19.37 - 29.63),39.52,(33.60 - 45.78),37.7,(32.41 - 43.29)
North Central,*,(* - *),*,(* - *),*,(* - *),34.14,(28.26 - 40.56)
Northeast,*,(* - *),22.97,(17.96 - 28.89),*,(* - *),39.07,(32.78 - 45.74)
Prince George's,35.53,(29.55 - 42.00),28.59,(23.59 - 34.17),50.56,(44.22 - 56.88),47.06,(41.53 - 52.65)
South,37.2,(31.06 - 43.79),28.53,(23.00 - 34.78),*,(* - *),42.14,(36.20 - 48.32)
West,*,(* - *),*,(* - *),43.72,(37.28 - 50.38),41.05,(35.37 - 46.99)
Massachusetts,26.76,(23.98 - 29.73),17.22,(14.95 - 19.75),32.27,(29.26 - 35.45),30.15,(27.50 - 32.94)
Boston,*,(* - *),19.84,(15.55 - 24.96),33.41,(27.61 - 39.76),30.62,(25.75 - 35.98)
Central,26.59,(21.30 - 32.65),16.68,(12.76 - 21.51),33.65,(27.99 - 39.82),31.34,(26.32 - 36.83)
Metrowest,23.22,(18.84 - 28.26),13.81,(10.67 - 17.70),27.31,(22.69 - 32.47),25.58,(21.45 - 30.20)
Northeast,26.19,(21.42 - 31.59),20.29,(16.18 - 25.14),34.56,(29.41 - 40.10),32.74,(28.13 - 37.71)
Southeast,29.35,(24.30 - 34.97),17.69,(13.78 - 22.40),32.41,(27.23 - 38.06),30.6,(25.98 - 35.65)
Western,27.01,(21.71 - 33.07),15.12,(11.53 - 19.58),*,(* - *),32.29,(26.92 - 38.19)
Michigan,33.83,(32.25 - 35.45),21.28,(19.96 - 22.67),38.83,(37.11 - 40.58),36.23,(34.75 - 37.75)
Bay,35.08,(29.85 - 40.69),24.78,(20.13 - 30.10),40.9,(35.52 - 46.51),38.74,(33.95 - 43.76)
Detroit City,33.07,(28.81 - 37.62),28.44,(24.37 - 32.91),47.33,(42.50 - 52.22),44.37,(40.19 - 48.62)
Genesee,30.39,(25.70 - 35.51),21.6,(17.69 - 26.09),36.45,(31.28 - 41.95),34.31,(29.79 - 39.13)
Kalamazoo,35.15,(30.63 - 39.95),21.42,(17.91 - 25.39),39.35,(34.56 - 44.36),36.43,(32.33 - 40.74)
Kent,31.96,(27.35 - 36.95),21.17,(17.71 - 25.10),38.61,(33.32 - 44.17),35.63,(31.15 - 40.37)
Lakeshore,36.8,(32.12 - 41.75),24.61,(20.75 - 28.94),42.03,(37.06 - 47.16),39.33,(35.04 - 43.78)
Macomb,32.18,(27.89 - 36.79),20.86,(17.32 - 24.91),34.66,(30.39 - 39.20),32.84,(29.03 - 36.90)
Mid South,31.02,(27.06 - 35.28),17.43,(14.54 - 20.74),36.73,(32.47 - 41.20),33.33,(29.74 - 37.12)
Northern,34.7,(30.33 - 39.35),21.61,(18.05 - 25.66),40.55,(35.81 - 45.47),37.91,(33.76 - 42.24)
Oakland,33.02,(29.28 - 36.99),19.35,(16.33 - 22.78),32.81,(29.03 - 36.82),31.14,(27.79 - 34.70)
Pathways,*,(* - *),18.44,(14.34 - 23.39),38.5,(32.22 - 45.19),35.52,(30.05 - 41.41)
Saginaw,*,(* - *),21.3,(16.57 - 26.93),40.75,(34.44 - 47.37),38,(32.43 - 43.89)
Southeast,36.81,(32.87 - 40.93),20.52,(17.43 - 24.00),42.76,(38.53 - 47.09),39.79,(36.10 - 43.60)
St. Clair,*,(* - *),24.53,(19.47 - 30.40),40.07,(34.02 - 46.45),38,(32.58 - 43.73)
Washtenaw,33.27,(28.66 - 38.22),16.69,(13.35 - 20.66),31.51,(26.86 - 36.56),28.68,(24.77 - 32.93)
Western,*,(* - *),19.19,(14.90 - 24.37),*,(* - *),37.96,(32.05 - 44.25)
Minnesota,32.31,(29.32 - 35.45),18.72,(16.39 - 21.31),33.67,(30.64 - 36.84),31.38,(28.74 - 34.14)
Regions 1 and 2,*,(* - *),17.94,(13.54 - 23.38),*,(* - *),33.15,(27.59 - 39.23)
Regions 3 and 4,35.95,(30.37 - 41.94),21.2,(16.80 - 26.39),39.26,(33.89 - 44.91),36.31,(31.67 - 41.21)
Regions 5 and 6,31.83,(26.64 - 37.50),19.24,(15.15 - 24.12),36.65,(31.18 - 42.48),33.92,(29.20 - 38.99)
Region 7A (Hennepin),27.22,(22.18 - 32.92),17.75,(14.09 - 22.11),30.6,(25.56 - 36.15),28.67,(24.23 - 33.56)
Region 7B (Ramsey),29.74,(23.99 - 36.21),19.93,(15.56 - 25.16),*,(* - *),30.26,(24.92 - 36.19)
Region 7C,35.27,(29.82 - 41.13),16.81,(13.21 - 21.17),29.7,(25.02 - 34.86),27.87,(23.73 - 32.42)
Mississippi,46.16,(42.87 - 49.49),37.51,(34.33 - 40.80),55.63,(52.17 - 59.03),52.67,(49.67 - 55.66)
Region 1,46.75,(40.67 - 52.93),38.2,(32.30 - 44.47),55.37,(49.49 - 61.10),52.7,(47.54 - 57.79)
Region 2,43.01,(37.06 - 49.17),40.48,(34.32 - 46.95),59.57,(53.13 - 65.70),56.37,(50.80 - 61.78)
Region 3,49.18,(42.68 - 55.71),41.13,(35.17 - 47.37),59.5,(52.80 - 65.86),56.32,(50.57 - 61.91)
Region 4,42.73,(36.83 - 48.84),34.69,(28.97 - 40.88),50.66,(44.26 - 57.04),48.05,(42.48 - 53.67)
Region 5,*,(* - *),*,(* - *),*,(* - *),57.99,(51.50 - 64.21)
Region 6,*,(* - *),*,(* - *),60.12,(53.46 - 66.42),55.99,(50.24 - 61.58)
Region 7,46.76,(40.46 - 53.16),32.09,(26.94 - 37.71),49.54,(43.10 - 56.00),46.88,(41.27 - 52.58)
Missouri,36.33,(33.35 - 39.41),24.33,(21.78 - 27.08),44.37,(41.04 - 47.75),41.35,(38.45 - 44.31)
Central,36.65,(31.14 - 42.54),25.01,(20.34 - 30.35),43.94,(38.02 - 50.05),40.62,(35.58 - 45.87)
Eastern,32.33,(28.13 - 36.84),21.1,(17.62 - 25.05),38.78,(34.23 - 43.53),36.24,(32.22 - 40.46)
Eastern (St. Louis City and County),30.52,(25.59 - 35.95),20.29,(16.17 - 25.14),38.17,(32.62 - 44.06),35.61,(30.72 - 40.82)
Eastern (excluding St. Louis),*,(* - *),22.71,(18.10 - 28.10),39.99,(33.83 - 46.49),37.51,(32.07 - 43.28)
Northwest,38.56,(33.60 - 43.78),25.29,(21.17 - 29.91),48.23,(42.96 - 53.55),44.79,(40.19 - 49.49)
Northwest (Jackson),*,(* - *),23.33,(18.35 - 29.19),*,(* - *),44.01,(38.04 - 50.16)
