State/Substate Region,18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Region 19R (Imperial),6.08,(4.41 - 8.32),*,(* - *),3.04,(2.33 - 3.94)
Region 14 (Orange),6.48,(4.97 - 8.40),2.86,(2.09 - 3.89),3.39,(2.66 - 4.33)
Region 15R (Fresno),5.86,(4.25 - 8.04),3.06,(2.20 - 4.24),3.59,(2.74 - 4.68)
Region 16R (San Diego),6.08,(4.59 - 8.01),3.09,(2.28 - 4.17),3.61,(2.82 - 4.60)
Region 17R,5.97,(4.41 - 8.04),2.94,(2.15 - 4.01),3.51,(2.73 - 4.49)
Region 18R (San Bernardino),5.94,(4.44 - 7.90),2.75,(1.98 - 3.80),3.34,(2.58 - 4.31)
Region 20R,5.78,(4.12 - 8.03),2.75,(1.96 - 3.85),3.29,(2.48 - 4.34)
Region 21R,6.58,(4.75 - 9.03),2.90,(2.07 - 4.04),3.57,(2.73 - 4.66)
Colorado,6.41,(5.27 - 7.77),3.85,(2.96 - 4.98),4.22,(3.40 - 5.22)
Region 1,6.52,(4.75 - 8.89),3.77,(2.68 - 5.28),4.25,(3.21 - 5.62)
Regions 2 and 7,6.16,(4.70 - 8.05),3.92,(2.84 - 5.37),4.22,(3.22 - 5.52)
Region 3,7.02,(5.07 - 9.64),3.67,(2.54 - 5.27),4.19,(3.09 - 5.64)
Region 4,6.08,(4.27 - 8.59),3.48,(2.40 - 5.03),3.88,(2.82 - 5.30)
Regions 5 and 6,6.76,(4.85 - 9.33),3.99,(2.76 - 5.74),4.37,(3.19 - 5.96)
Connecticut,6.36,(5.19 - 7.78),3.45,(2.70 - 4.39),3.85,(3.14 - 4.72)
Eastern,6.73,(4.83 - 9.31),3.95,(2.76 - 5.63),4.44,(3.29 - 5.97)
North Central,6.01,(4.46 - 8.06),3.21,(2.30 - 4.47),3.59,(2.71 - 4.74)
Northwestern,6.04,(4.37 - 8.31),3.43,(2.41 - 4.88),3.77,(2.77 - 5.11)
South Central,6.93,(5.10 - 9.36),3.68,(2.59 - 5.20),4.13,(3.08 - 5.52)
Southwest,6.11,(4.37 - 8.49),3.20,(2.22 - 4.58),3.57,(2.62 - 4.85)
Delaware,6.89,(5.62 - 8.42),2.96,(2.23 - 3.93),3.52,(2.82 - 4.39)
Kent,6.77,(4.97 - 9.17),3.42,(2.34 - 4.98),3.94,(2.89 - 5.35)
New Castle (excluding Wilmington City),7.29,(5.58 - 9.46),2.81,(1.97 - 3.99),3.49,(2.66 - 4.55)
Sussex,6.05,(4.36 - 8.32),2.91,(2.01 - 4.20),3.26,(2.38 - 4.45)
Wilmington City,6.29,(4.51 - 8.71),3.11,(2.15 - 4.49),3.55,(2.60 - 4.82)
District of Columbia,5.77,(4.67 - 7.10),3.95,(3.06 - 5.08),4.28,(3.46 - 5.28)
Ward 1,5.78,(4.08 - 8.12),3.75,(2.65 - 5.27),4.13,(3.08 - 5.52)
Ward 2,5.97,(4.24 - 8.33),4.09,(2.92 - 5.70),4.58,(3.46 - 6.02)
Ward 3,5.69,(4.13 - 7.80),3.67,(2.60 - 5.15),4.02,(3.00 - 5.35)
Ward 4,5.68,(3.92 - 8.16),3.56,(2.41 - 5.21),3.84,(2.74 - 5.36)
Ward 5,5.82,(4.12 - 8.16),3.94,(2.67 - 5.78),4.29,(3.10 - 5.90)
Ward 6,5.58,(3.93 - 7.87),4.27,(3.02 - 6.00),4.44,(3.27 - 6.01)
Ward 7,6.04,(4.26 - 8.50),4.26,(2.88 - 6.26),4.55,(3.26 - 6.30)
Ward 8,5.39,(3.80 - 7.60),4.21,(2.88 - 6.12),4.46,(3.26 - 6.09)
Florida,5.94,(5.22 - 6.74),3.13,(2.62 - 3.73),3.49,(3.02 - 4.03)
Region A - Northwest,6.10,(4.93 - 7.52),3.52,(2.75 - 4.50),3.95,(3.24 - 4.82)
Circuit 1,6.30,(4.70 - 8.40),3.47,(2.48 - 4.85),3.90,(2.96 - 5.12)
Circuit 2,5.93,(4.32 - 8.10),3.20,(2.32 - 4.40),3.80,(2.94 - 4.91)
Circuit 14,5.93,(4.27 - 8.19),4.01,(2.84 - 5.64),4.27,(3.16 - 5.75)
Region B - Northeast,5.81,(4.70 - 7.16),3.45,(2.70 - 4.39),3.81,(3.11 - 4.66)
Circuits 3 and 8,5.40,(3.96 - 7.32),3.12,(2.25 - 4.32),3.60,(2.77 - 4.68)
Circuit 4,6.13,(4.49 - 8.33),3.71,(2.62 - 5.23),4.06,(3.02 - 5.43)
Circuit 7,5.79,(4.26 - 7.83),3.32,(2.38 - 4.62),3.63,(2.72 - 4.82)
Region C - Central,6.38,(5.39 - 7.53),3.28,(2.66 - 4.04),3.67,(3.10 - 4.35)
Circuit 5,5.83,(4.32 - 7.83),3.49,(2.51 - 4.85),3.74,(2.81 - 4.98)
Circuit 9,6.50,(4.97 - 8.46),3.00,(2.20 - 4.07),3.50,(2.74 - 4.48)
Circuit 10,6.60,(4.90 - 8.83),3.43,(2.41 - 4.86),3.85,(2.87 - 5.15)
Circuit 18,6.79,(5.04 - 9.11),3.28,(2.35 - 4.54),3.72,(2.83 - 4.88)
Circuit 19,5.92,(4.34 - 8.04),3.33,(2.37 - 4.66),3.63,(2.70 - 4.86)
Region D - Southeast,5.46,(4.36 - 6.82),2.80,(2.17 - 3.61),3.11,(2.51 - 3.86)
Circuit 15 (Palm Beach),5.75,(4.29 - 7.67),3.04,(2.20 - 4.19),3.34,(2.53 - 4.40)
Circuit 17 (Broward),5.26,(3.93 - 7.01),2.62,(1.90 - 3.60),2.94,(2.24 - 3.84)
Region E - Sun Coast,6.21,(5.23 - 7.36),3.32,(2.67 - 4.11),3.64,(3.03 - 4.37)
Circuit 6,6.58,(4.93 - 8.72),3.62,(2.64 - 4.94),3.93,(2.99 - 5.15)
Circuit 12,6.19,(4.48 - 8.50),3.44,(2.45 - 4.82),3.72,(2.75 - 5.00)
Circuit 13 (Hillsborough),6.16,(4.75 - 7.95),3.01,(2.18 - 4.13),3.45,(2.66 - 4.47)
Circuit 20,5.84,(4.29 - 7.91),3.16,(2.28 - 4.37),3.44,(2.59 - 4.56)
Region F - Southern (Circuits 11 and 16),5.27,(4.08 - 6.77),2.38,(1.72 - 3.28),2.76,(2.14 - 3.57)
Georgia,5.37,(4.32 - 6.65),2.55,(1.94 - 3.35),2.97,(2.37 - 3.71)
Region 1,5.35,(3.88 - 7.34),2.63,(1.83 - 3.77),2.98,(2.20 - 4.04)
Region 2,5.34,(3.76 - 7.54),2.70,(1.86 - 3.91),3.17,(2.32 - 4.30)
Region 3,5.83,(4.26 - 7.95),2.37,(1.67 - 3.36),2.82,(2.11 - 3.75)
Region 4,*,(* - *),2.82,(1.90 - 4.15),3.27,(2.35 - 4.52)
Region 5,4.78,(3.36 - 6.78),2.62,(1.77 - 3.87),3.00,(2.17 - 4.14)
Region 6,4.97,(3.48 - 7.03),2.51,(1.74 - 3.62),2.90,(2.13 - 3.93)
Hawaii,7.46,(5.93 - 9.34),3.16,(2.38 - 4.18),3.74,(2.99 - 4.68)
Hawaii Island,6.92,(4.95 - 9.59),3.25,(2.21 - 4.75),3.75,(2.73 - 5.13)
Honolulu,7.65,(5.88 - 9.91),3.18,(2.29 - 4.39),3.80,(2.94 - 4.90)
Kauai and Maui,6.96,(5.18 - 9.28),3.01,(2.17 - 4.18),3.48,(2.64 - 4.58)
Kauai,7.12,(4.97 - 10.11),3.27,(2.23 - 4.77),3.74,(2.70 - 5.15)
Maui,6.88,(4.84 - 9.70),2.90,(1.98 - 4.23),3.37,(2.45 - 4.63)
Idaho,7.67,(6.32 - 9.28),4.30,(3.38 - 5.45),4.81,(3.94 - 5.87)
Region 1,8.04,(5.87 - 10.91),4.34,(3.07 - 6.09),4.81,(3.58 - 6.43)
Region 2,7.70,(5.46 - 10.75),4.38,(3.02 - 6.30),5.01,(3.69 - 6.77)
Region 3,7.66,(5.56 - 10.46),4.26,(3.02 - 5.99),4.77,(3.56 - 6.36)
Region 4,7.72,(5.79 - 10.21),4.52,(3.27 - 6.21),4.96,(3.77 - 6.50)
Region 5,7.87,(5.61 - 10.94),3.99,(2.75 - 5.75),4.54,(3.31 - 6.19)
Region 6,7.91,(5.68 - 10.90),4.34,(3.05 - 6.13),4.95,(3.69 - 6.60)
Region 7,7.02,(5.15 - 9.49),3.96,(2.81 - 5.58),4.58,(3.47 - 6.02)
Illinois,6.61,(5.83 - 7.48),3.57,(3.01 - 4.23),4.03,(3.52 - 4.62)
Region I (Cook),7.07,(5.89 - 8.46),3.63,(2.82 - 4.67),4.12,(3.37 - 5.03)
Region II,6.24,(5.03 - 7.72),3.34,(2.62 - 4.26),3.78,(3.10 - 4.59)
Region III,6.18,(4.87 - 7.82),3.83,(2.91 - 5.03),4.27,(3.42 - 5.32)
Region IV,6.04,(4.59 - 7.91),3.67,(2.67 - 5.02),4.03,(3.09 - 5.25)
Region V,7.07,(5.50 - 9.05),3.71,(2.76 - 4.95),4.24,(3.34 - 5.35)
Indiana,6.43,(5.31 - 7.76),3.73,(2.95 - 4.71),4.13,(3.40 - 5.01)
Central,5.95,(4.28 - 8.20),3.65,(2.59 - 5.12),3.95,(2.94 - 5.30)
East,6.19,(4.46 - 8.52),3.67,(2.59 - 5.19),4.06,(3.03 - 5.42)
North Central,6.42,(4.63 - 8.84),3.77,(2.63 - 5.38),4.15,(3.06 - 5.60)
Northeast,5.95,(4.19 - 8.38),4.09,(2.81 - 5.91),4.35,(3.15 - 5.99)
Northwest,7.38,(5.30 - 10.19),3.63,(2.54 - 5.18),4.17,(3.10 - 5.59)
Southeast,6.76,(4.92 - 9.22),3.71,(2.61 - 5.26),4.09,(3.03 - 5.52)
Southwest,*,(* - *),3.87,(2.70 - 5.53),4.22,(3.10 - 5.72)
West,6.74,(4.92 - 9.16),3.64,(2.59 - 5.10),4.29,(3.27 - 5.62)
Iowa,6.44,(5.31 - 7.80),3.49,(2.76 - 4.41),3.94,(3.24 - 4.78)
Central,5.80,(4.14 - 8.06),3.31,(2.37 - 4.61),3.64,(2.73 - 4.83)
North Central,6.15,(4.39 - 8.57),3.23,(2.26 - 4.60),3.77,(2.81 - 5.05)
Northeast,6.12,(4.50 - 8.27),3.53,(2.54 - 4.89),3.93,(2.99 - 5.16)
Northwest,6.85,(5.00 - 9.33),3.50,(2.45 - 4.98),3.98,(2.96 - 5.34)
Southeast,7.23,(5.34 - 9.72),3.77,(2.72 - 5.19),4.32,(3.30 - 5.62)
Southwest,6.30,(4.43 - 8.89),3.40,(2.39 - 4.81),3.80,(2.81 - 5.12)
Kansas,6.47,(5.25 - 7.94),3.10,(2.42 - 3.96),3.64,(2.98 - 4.43)
Kansas City Metro,6.83,(5.03 - 9.20),2.83,(2.02 - 3.96),3.47,(2.66 - 4.51)
Northeast,6.34,(4.59 - 8.71),3.22,(2.29 - 4.51),3.77,(2.85 - 4.97)
South Central,6.29,(4.48 - 8.79),3.25,(2.27 - 4.64),3.73,(2.78 - 5.00)
Southeast,6.70,(4.73 - 9.40),3.53,(2.43 - 5.10),4.03,(2.96 - 5.47)
West,6.09,(4.39 - 8.40),2.96,(2.02 - 4.33),3.45,(2.53 - 4.68)
Wichita (Sedgwick),6.14,(4.39 - 8.52),3.29,(2.33 - 4.65),3.71,(2.77 - 4.96)
Kentucky,6.11,(5.05 - 7.39),3.59,(2.79 - 4.60),3.93,(3.19 - 4.85)
"Adanta, Cumberland River, and Lifeskills",5.84,(4.26 - 7.95),3.91,(2.73 - 5.56),4.17,(3.06 - 5.65)
"Bluegrass, Comprehend, and North Key",6.10,(4.53 - 8.17),3.50,(2.50 - 4.88),3.87,(2.93 - 5.11)
Communicare and River Valley,6.05,(4.32 - 8.43),3.61,(2.49 - 5.20),3.94,(2.87 - 5.39)
Four Rivers and Pennyroyal,6.35,(4.52 - 8.85),3.75,(2.62 - 5.36),4.13,(3.03 - 5.59)
"Kentucky River, Mountain, and Pathways",5.95,(4.30 - 8.18),3.77,(2.60 - 5.43),4.05,(2.95 - 5.55)
Seven Counties,6.37,(4.67 - 8.65),3.29,(2.28 - 4.71),3.68,(2.70 - 5.00)
Louisiana,5.98,(4.88 - 7.32),2.83,(2.17 - 3.68),3.34,(2.70 - 4.12)
Regions 1 and 3,5.73,(4.12 - 7.91),2.74,(1.90 - 3.95),3.20,(2.37 - 4.31)
Regions 2 and 9,6.32,(4.68 - 8.50),2.81,(1.99 - 3.97),3.42,(2.60 - 4.50)
"Regions 4, 5, and 6",6.36,(4.65 - 8.64),3.01,(2.13 - 4.23),3.54,(2.68 - 4.67)
Regions 7 and 8,5.16,(3.76 - 7.05),2.76,(1.88 - 4.04),3.17,(2.32 - 4.32)
Region 10 (Jefferson),6.23,(4.36 - 8.84),2.72,(1.86 - 3.97),3.18,(2.31 - 4.37)
Maine,6.49,(5.38 - 7.82),4.02,(3.15 - 5.11),4.32,(3.51 - 5.32)
Aroostook/Downeast,6.44,(4.69 - 8.78),4.22,(2.93 - 6.03),4.48,(3.26 - 6.12)
Central,6.19,(4.43 - 8.57),4.29,(2.98 - 6.14),4.52,(3.27 - 6.21)
Cumberland,6.93,(5.07 - 9.42),4.27,(2.98 - 6.10),4.60,(3.37 - 6.26)
Midcoast,6.33,(4.54 - 8.78),3.45,(2.39 - 4.95),3.76,(2.74 - 5.13)
Penquis,6.48,(4.70 - 8.88),4.45,(3.08 - 6.40),4.75,(3.47 - 6.48)
Western,6.41,(4.64 - 8.80),3.67,(2.60 - 5.16),4.02,(2.99 - 5.39)
York,6.37,(4.61 - 8.73),3.72,(2.60 - 5.31),4.03,(2.95 - 5.48)
Maryland,6.52,(5.29 - 8.01),3.02,(2.30 - 3.95),3.52,(2.83 - 4.38)
Anne Arundel,6.02,(4.28 - 8.41),3.25,(2.20 - 4.78),3.63,(2.61 - 5.02)
Baltimore City,7.38,(5.25 - 10.27),3.57,(2.40 - 5.28),4.23,(3.08 - 5.78)
Baltimore County,6.09,(4.31 - 8.54),2.80,(1.90 - 4.11),3.25,(2.34 - 4.49)
Montgomery,6.96,(4.92 - 9.77),2.73,(1.86 - 3.99),3.26,(2.37 - 4.46)
North Central,6.40,(4.49 - 9.06),2.86,(1.94 - 4.19),3.31,(2.40 - 4.57)
Northeast,6.82,(4.79 - 9.63),3.39,(2.30 - 4.97),3.83,(2.76 - 5.29)
Prince George's,6.54,(4.65 - 9.13),2.63,(1.78 - 3.87),3.32,(2.45 - 4.49)
South,6.03,(4.25 - 8.49),3.16,(2.18 - 4.55),3.58,(2.63 - 4.86)
West,5.91,(4.17 - 8.32),3.23,(2.19 - 4.75),3.59,(2.58 - 4.98)
Massachusetts,6.08,(5.00 - 7.38),3.48,(2.72 - 4.43),3.87,(3.17 - 4.72)
Boston,5.70,(4.07 - 7.93),3.49,(2.44 - 4.98),3.91,(2.92 - 5.21)
Central,6.57,(4.71 - 9.10),3.56,(2.51 - 5.04),4.01,(2.99 - 5.36)
Metrowest,6.23,(4.54 - 8.49),3.28,(2.31 - 4.64),3.69,(2.76 - 4.93)
Northeast,5.90,(4.27 - 8.11),3.40,(2.38 - 4.84),3.74,(2.77 - 5.04)
Southeast,5.59,(3.97 - 7.82),3.60,(2.52 - 5.11),3.87,(2.85 - 5.23)
Western,6.58,(4.80 - 8.95),3.66,(2.59 - 5.14),4.17,(3.15 - 5.52)
Michigan,7.47,(6.66 - 8.37),3.95,(3.37 - 4.61),4.46,(3.93 - 5.05)
Detroit City,7.02,(5.35 - 9.17),3.73,(2.70 - 5.14),4.27,(3.29 - 5.52)
Genesee,7.35,(5.51 - 9.73),4.35,(3.19 - 5.90),4.77,(3.67 - 6.17)
Kalamazoo,8.17,(6.17 - 10.75),4.28,(3.17 - 5.75),4.89,(3.82 - 6.23)
Kent,7.58,(5.75 - 9.94),4.21,(3.06 - 5.76),4.71,(3.63 - 6.10)
Lakeshore,7.26,(5.58 - 9.39),3.83,(2.83 - 5.15),4.35,(3.41 - 5.54)
Macomb,8.59,(6.63 - 11.05),3.86,(2.87 - 5.16),4.44,(3.48 - 5.65)
Mid South,6.85,(5.34 - 8.75),4.02,(2.99 - 5.39),4.51,(3.57 - 5.69)
Northern,7.48,(5.71 - 9.74),4.24,(3.16 - 5.68),4.73,(3.70 - 6.02)
Oakland,7.44,(5.79 - 9.53),3.87,(2.93 - 5.09),4.30,(3.41 - 5.41)
Pathways and Western,7.44,(5.57 - 9.88),4.10,(2.96 - 5.65),4.62,(3.52 - 6.04)
Riverhaven,7.06,(5.21 - 9.50),3.97,(2.91 - 5.39),4.37,(3.34 - 5.69)
Saginaw,7.75,(5.73 - 10.39),3.90,(2.83 - 5.34),4.47,(3.43 - 5.80)
Southeast,7.42,(5.84 - 9.37),3.60,(2.73 - 4.75),4.10,(3.26 - 5.13)
St. Clair,7.53,(5.59 - 10.08),4.34,(3.19 - 5.87),4.76,(3.67 - 6.15)
Washtenaw,7.52,(5.66 - 9.91),3.57,(2.62 - 4.86),4.29,(3.37 - 5.46)
Minnesota,6.35,(5.21 - 7.72),3.34,(2.62 - 4.25),3.78,(3.10 - 4.61)
Regions 1 and 2,7.00,(5.05 - 9.61),3.94,(2.72 - 5.66),4.41,(3.24 - 5.97)
Regions 3 and 4,6.02,(4.35 - 8.29),3.57,(2.57 - 4.95),3.97,(3.00 - 5.24)
Regions 5 and 6,6.21,(4.53 - 8.46),3.16,(2.25 - 4.42),3.64,(2.75 - 4.80)
Region 7A (Hennepin),6.26,(4.52 - 8.60),3.30,(2.29 - 4.72),3.67,(2.69 - 4.99)
Region 7B (Ramsey),7.02,(5.09 - 9.61),3.28,(2.32 - 4.63),3.83,(2.88 - 5.09)
Region 7C,6.23,(4.50 - 8.56),3.12,(2.22 - 4.37),3.55,(2.68 - 4.71)
Mississippi,6.16,(5.07 - 7.47),3.02,(2.32 - 3.93),3.52,(2.85 - 4.33)
Region 1,5.92,(4.34 - 8.02),2.96,(2.08 - 4.22),3.41,(2.55 - 4.55)
Region 2,6.36,(4.51 - 8.90),3.03,(2.08 - 4.40),3.59,(2.65 - 4.85)
Region 3,5.84,(4.21 - 8.05),2.98,(2.05 - 4.31),3.46,(2.57 - 4.66)
Region 4,6.67,(4.86 - 9.10),3.19,(2.21 - 4.59),3.73,(2.77 - 5.01)
Region 5,6.32,(4.44 - 8.92),2.85,(1.94 - 4.19),3.38,(2.46 - 4.62)
Region 6,6.20,(4.43 - 8.61),3.28,(2.28 - 4.71),3.79,(2.81 - 5.09)
Region 7,5.92,(4.20 - 8.29),2.86,(1.96 - 4.14),3.28,(2.39 - 4.48)
Missouri,6.38,(5.24 - 7.75),3.61,(2.86 - 4.56),4.01,(3.29 - 4.87)
Central,6.33,(4.53 - 8.79),3.69,(2.62 - 5.18),4.15,(3.11 - 5.52)
Eastern,6.79,(5.24 - 8.76),3.46,(2.60 - 4.59),3.92,(3.09 - 4.97)
Eastern (St. Louis City and County),6.96,(5.12 - 9.41),3.46,(2.49 - 4.77),3.94,(3.00 - 5.16)
Eastern (excluding St. Louis),6.49,(4.65 - 8.98),3.47,(2.40 - 4.98),3.89,(2.84 - 5.29)
Northwest,6.03,(4.66 - 7.77),3.36,(2.47 - 4.55),3.72,(2.87 - 4.81)
Northwest (Jackson),6.17,(4.46 - 8.48),3.47,(2.43 - 4.92),3.82,(2.82 - 5.16)
Northwest (excluding Jackson),5.92,(4.25 - 8.19),3.26,(2.24 - 4.71),3.64,(2.65 - 4.97)
Southeast,6.16,(4.34 - 8.68),4.00,(2.79 - 5.71),4.29,(3.14 - 5.85)
Southwest,6.21,(4.47 - 8.56),4.01,(2.88 - 5.57),4.32,(3.25 - 5.74)
Montana,7.77,(6.50 - 9.27),4.02,(3.17 - 5.09),4.57,(3.77 - 5.53)
Region 1,8.51,(6.07 - 11.82),3.98,(2.77 - 5.69),4.59,(3.39 - 6.18)
Region 2,8.06,(5.87 - 10.97),3.81,(2.65 - 5.45),4.43,(3.30 - 5.93)
Region 3,7.32,(5.38 - 9.90),4.01,(2.84 - 5.65),4.45,(3.32 - 5.95)
Region 4,7.93,(6.05 - 10.34),4.15,(2.95 - 5.79),4.76,(3.62 - 6.22)
Region 5,7.61,(5.74 - 10.01),4.02,(2.94 - 5.48),4.55,(3.52 - 5.87)
Nebraska,6.21,(5.08 - 7.57),3.42,(2.71 - 4.32),3.87,(3.20 - 4.68)
Regions 1 and 2,6.21,(4.66 - 8.23),3.50,(2.58 - 4.73),3.89,(3.00 - 5.02)
Region 1,*,(* - *),3.42,(2.36 - 4.91),3.85,(2.82 - 5.23)
Region 2,6.17,(4.33 - 8.70),*,(* - *),3.92,(2.86 - 5.36)
Region 3,6.23,(4.45 - 8.66),3.72,(2.66 - 5.19),4.12,(3.09 - 5.48)
Region 4,6.45,(4.57 - 9.04),3.42,(2.37 - 4.92),3.89,(2.86 - 5.28)
Region 5,6.17,(4.63 - 8.19),3.34,(2.42 - 4.60),3.85,(2.97 - 4.98)
Region 6,6.15,(4.60 - 8.18),3.36,(2.45 - 4.58),3.79,(2.93 - 4.90)
Nevada,6.08,(4.87 - 7.57),3.91,(2.99 - 5.09),4.19,(3.34 - 5.24)
Clark,6.04,(4.62 - 7.85),3.94,(2.90 - 5.33),4.21,(3.25 - 5.44)
Rural,6.19,(4.35 - 8.72),3.92,(2.74 - 5.57),4.21,(3.09 - 5.73)
