State/Substate Region,18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Regions 2 and 7,32.34,(28.37 - 36.58),18.04,(15.13 - 21.38),20.00,(17.36 - 22.93)
Region 3,30.89,(25.87 - 36.41),17.81,(14.46 - 21.73),19.82,(16.77 - 23.27)
Region 4,30.12,(25.03 - 35.75),*,(* - *),20.30,(16.90 - 24.19)
Regions 5 and 6,31.60,(26.41 - 37.28),18.53,(14.89 - 22.81),20.32,(16.94 - 24.17)
Connecticut,32.61,(29.59 - 35.79),17.57,(15.19 - 20.24),19.66,(17.50 - 22.01)
Eastern,34.05,(28.59 - 39.98),19.52,(15.72 - 23.97),22.06,(18.62 - 25.93)
North Central,31.67,(27.20 - 36.51),16.70,(13.59 - 20.37),18.72,(15.86 - 21.95)
Northwestern,32.21,(27.22 - 37.65),17.35,(14.00 - 21.30),19.28,(16.20 - 22.79)
South Central,33.72,(29.13 - 38.63),18.63,(15.12 - 22.74),20.74,(17.53 - 24.36)
Southwest,31.66,(26.63 - 37.16),16.54,(13.32 - 20.34),18.47,(15.49 - 21.89)
Delaware,30.70,(27.60 - 33.99),17.94,(15.52 - 20.65),19.75,(17.58 - 22.12)
Kent,29.53,(24.80 - 34.75),18.99,(15.34 - 23.26),20.61,(17.35 - 24.30)
New Castle (excluding Wilmington City),31.76,(27.76 - 36.06),17.70,(14.74 - 21.11),19.83,(17.16 - 22.79)
Sussex,30.31,(25.29 - 35.84),17.22,(13.97 - 21.04),18.68,(15.67 - 22.12)
Wilmington City,27.26,(22.48 - 32.62),19.22,(15.47 - 23.62),20.32,(16.90 - 24.24)
District of Columbia,29.69,(26.77 - 32.79),19.17,(16.69 - 21.93),21.07,(18.89 - 23.43)
Ward 1,30.79,(25.85 - 36.21),20.87,(17.09 - 25.24),22.73,(19.34 - 26.51)
Ward 2,33.42,(28.54 - 38.69),22.54,(18.62 - 27.02),25.33,(22.00 - 28.97)
Ward 3,33.03,(28.22 - 38.23),20.00,(16.31 - 24.28),22.22,(18.91 - 25.93)
Ward 4,27.00,(21.92 - 32.75),16.43,(12.99 - 20.57),17.83,(14.61 - 21.57)
Ward 5,26.69,(21.96 - 32.02),17.37,(13.70 - 21.78),19.07,(15.81 - 22.81)
Ward 6,30.37,(25.31 - 35.95),19.94,(16.27 - 24.20),21.32,(17.94 - 25.15)
Ward 7,25.65,(21.01 - 30.92),17.48,(14.11 - 21.45),18.77,(15.73 - 22.25)
Ward 8,26.00,(21.43 - 31.16),18.03,(14.42 - 22.31),19.71,(16.49 - 23.37)
Florida,27.50,(25.83 - 29.24),16.69,(15.25 - 18.23),18.09,(16.80 - 19.45)
Region A - Northwest,28.93,(25.83 - 32.23),18.05,(15.76 - 20.60),19.87,(17.82 - 22.09)
Circuit 1,29.90,(25.42 - 34.81),17.52,(14.49 - 21.03),19.39,(16.62 - 22.50)
Circuit 2,27.89,(23.49 - 32.75),18.39,(15.17 - 22.12),20.46,(17.60 - 23.65)
Circuit 14,*,(* - *),18.89,(15.54 - 22.76),20.21,(17.16 - 23.65)
Region B - Northeast,28.89,(26.02 - 31.94),17.57,(15.49 - 19.86),19.29,(17.41 - 21.33)
Circuits 3 and 8,28.74,(24.37 - 33.54),18.66,(15.37 - 22.46),20.75,(17.89 - 23.95)
Circuit 4,28.94,(24.73 - 33.54),17.23,(14.32 - 20.59),18.92,(16.26 - 21.91)
Circuit 7,28.98,(24.40 - 34.02),17.35,(14.38 - 20.78),18.82,(16.05 - 21.93)
Region C - Central,28.37,(26.05 - 30.82),16.99,(15.17 - 18.99),18.44,(16.79 - 20.21)
Circuit 5,29.01,(24.63 - 33.82),16.55,(13.74 - 19.81),17.90,(15.30 - 20.84)
Circuit 9,28.02,(24.40 - 31.95),17.38,(14.60 - 20.56),18.92,(16.41 - 21.72)
Circuit 10,27.89,(23.71 - 32.50),19.12,(15.68 - 23.11),20.28,(17.17 - 23.79)
Circuit 18,28.71,(24.49 - 33.34),15.84,(13.10 - 19.03),17.47,(14.93 - 20.34)
Circuit 19,28.30,(23.64 - 33.48),16.40,(13.33 - 20.02),17.78,(14.93 - 21.03)
Region D - Southeast,26.46,(23.56 - 29.58),15.52,(13.45 - 17.85),16.81,(14.91 - 18.90)
Circuit 15 (Palm Beach),26.41,(22.39 - 30.86),15.86,(12.96 - 19.27),17.05,(14.35 - 20.14)
Circuit 17 (Broward),26.50,(22.85 - 30.50),15.27,(12.82 - 18.08),16.63,(14.39 - 19.15)
Region E - Sun Coast,27.75,(25.33 - 30.32),17.13,(15.20 - 19.24),18.34,(16.58 - 20.24)
Circuit 6,30.03,(25.72 - 34.73),16.96,(14.10 - 20.28),18.37,(15.71 - 21.36)
Circuit 12,28.11,(23.58 - 33.14),18.37,(14.97 - 22.34),19.35,(16.17 - 22.99)
Circuit 13 (Hillsborough),25.69,(22.17 - 29.55),17.31,(14.31 - 20.78),18.49,(15.78 - 21.54)
Circuit 20,27.43,(23.14 - 32.19),16.35,(13.49 - 19.67),17.51,(14.84 - 20.54)
Region F - Southern (Circuits 11 and 16),24.06,(21.05 - 27.37),15.17,(12.61 - 18.15),16.35,(14.04 - 18.96)
Georgia,28.35,(25.52 - 31.36),17.17,(14.82 - 19.81),18.82,(16.70 - 21.13)
Region 1,29.72,(25.32 - 34.53),17.68,(14.42 - 21.49),19.26,(16.27 - 22.65)
Region 2,27.88,(23.20 - 33.09),17.05,(13.69 - 21.02),18.95,(15.91 - 22.42)
Region 3,28.04,(23.91 - 32.57),16.07,(13.04 - 19.64),17.63,(14.87 - 20.79)
Region 4,*,(* - *),18.31,(14.56 - 22.78),19.84,(16.45 - 23.75)
Region 5,28.19,(23.66 - 33.21),18.06,(14.45 - 22.33),19.83,(16.59 - 23.53)
Region 6,27.73,(22.89 - 33.14),17.68,(14.20 - 21.79),19.26,(16.10 - 22.86)
Hawaii,30.01,(26.48 - 33.79),17.42,(14.83 - 20.35),19.14,(16.79 - 21.72)
Hawaii Island,30.63,(25.27 - 36.57),19.74,(15.87 - 24.28),21.24,(17.70 - 25.26)
Honolulu,29.96,(25.98 - 34.27),16.94,(14.09 - 20.24),18.76,(16.17 - 21.65)
Kauai and Maui,29.64,(24.94 - 34.82),17.54,(14.40 - 21.20),18.99,(16.08 - 22.29)
Kauai,*,(* - *),17.51,(13.84 - 21.91),18.94,(15.51 - 22.92)
Maui,29.77,(24.37 - 35.79),17.56,(13.99 - 21.80),19.01,(15.70 - 22.83)
Idaho,34.40,(31.36 - 37.57),22.57,(19.85 - 25.53),24.37,(21.96 - 26.96)
Region 1,34.83,(29.44 - 40.64),21.53,(17.51 - 26.19),23.22,(19.52 - 27.39)
Region 2,33.72,(28.41 - 39.49),21.06,(16.96 - 25.84),23.46,(19.83 - 27.54)
Region 3,33.52,(28.48 - 38.97),23.62,(19.64 - 28.12),25.08,(21.49 - 29.04)
Region 4,35.92,(31.51 - 40.59),23.68,(19.82 - 28.02),25.36,(21.88 - 29.19)
Region 5,32.31,(26.95 - 38.17),21.87,(17.89 - 26.46),23.35,(19.70 - 27.46)
Region 6,35.07,(29.52 - 41.05),22.66,(18.51 - 27.42),24.76,(21.02 - 28.92)
Region 7,33.76,(28.59 - 39.36),21.15,(17.49 - 25.35),23.68,(20.44 - 27.26)
Illinois,30.70,(28.98 - 32.48),16.03,(14.62 - 17.54),18.27,(17.02 - 19.58)
Region I (Cook),31.41,(28.73 - 34.22),15.55,(13.53 - 17.81),17.83,(16.01 - 19.81)
Region II,29.66,(26.78 - 32.72),15.29,(13.34 - 17.46),17.45,(15.71 - 19.34)
Region III,31.41,(27.95 - 35.10),17.46,(14.90 - 20.36),20.05,(17.78 - 22.52)
Region IV,32.04,(27.78 - 36.62),16.77,(14.00 - 19.96),19.12,(16.60 - 21.93)
Region V,29.36,(25.84 - 33.15),18.31,(15.45 - 21.55),20.04,(17.47 - 22.89)
Indiana,33.41,(30.25 - 36.73),19.56,(17.17 - 22.19),21.58,(19.43 - 23.91)
Central,31.35,(26.50 - 36.65),19.45,(16.19 - 23.18),21.02,(18.06 - 24.33)
East,33.14,(28.09 - 38.60),19.28,(15.47 - 23.76),21.41,(17.97 - 25.30)
North Central,34.65,(29.45 - 40.25),19.30,(15.65 - 23.55),21.47,(18.10 - 25.28)
Northeast,32.65,(27.23 - 38.58),19.67,(15.86 - 24.13),21.51,(17.99 - 25.50)
Northwest,32.60,(27.42 - 38.25),18.63,(15.10 - 22.77),20.63,(17.40 - 24.28)
Southeast,32.50,(27.20 - 38.30),20.69,(16.93 - 25.03),22.17,(18.72 - 26.06)
Southwest,*,(* - *),19.38,(15.59 - 23.83),21.58,(18.12 - 25.50)
West,36.36,(30.86 - 42.25),20.31,(16.64 - 24.55),23.67,(20.41 - 27.26)
Iowa,30.97,(28.11 - 33.97),17.81,(15.64 - 20.19),19.80,(17.88 - 21.88)
Central,30.07,(25.29 - 35.32),18.97,(15.60 - 22.87),20.44,(17.33 - 23.94)
North Central,30.99,(25.95 - 36.52),16.94,(13.77 - 20.67),19.52,(16.63 - 22.78)
Northeast,30.70,(26.36 - 35.41),17.11,(14.17 - 20.51),19.22,(16.55 - 22.20)
Northwest,31.63,(26.87 - 36.80),16.48,(13.32 - 20.21),18.66,(15.77 - 21.96)
Southeast,31.53,(27.04 - 36.38),18.45,(15.20 - 22.21),20.52,(17.59 - 23.80)
Southwest,30.74,(25.47 - 36.56),19.05,(15.56 - 23.12),20.68,(17.45 - 24.33)
Kansas,28.72,(25.64 - 32.00),18.57,(16.20 - 21.21),20.19,(18.06 - 22.50)
Kansas City Metro,29.13,(24.70 - 34.01),18.81,(15.69 - 22.37),20.45,(17.65 - 23.57)
Northeast,28.70,(23.99 - 33.92),18.62,(15.19 - 22.63),20.40,(17.32 - 23.86)
South Central,28.58,(23.50 - 34.26),17.62,(14.18 - 21.68),19.34,(16.19 - 22.94)
Southeast,30.60,(25.04 - 36.79),19.87,(15.91 - 24.52),21.56,(17.98 - 25.63)
West,28.26,(23.32 - 33.79),16.80,(13.45 - 20.79),18.57,(15.47 - 22.12)
Wichita (Sedgwick),27.39,(22.54 - 32.83),19.39,(15.83 - 23.52),20.56,(17.32 - 24.22)
Kentucky,28.52,(25.49 - 31.76),19.27,(16.84 - 21.95),20.53,(18.33 - 22.92)
"Adanta, Cumberland River, and Lifeskills",28.12,(23.32 - 33.46),19.90,(16.37 - 23.97),21.01,(17.78 - 24.65)
"Bluegrass, Comprehend, and North Key",28.81,(24.44 - 33.61),19.57,(16.20 - 23.44),20.90,(17.85 - 24.33)
Communicare and River Valley,29.21,(24.15 - 34.85),19.03,(15.29 - 23.42),20.42,(16.98 - 24.34)
Four Rivers and Pennyroyal,28.78,(23.72 - 34.42),19.11,(15.54 - 23.27),20.50,(17.26 - 24.17)
"Kentucky River, Mountain, and Pathways",28.80,(23.96 - 34.18),19.72,(16.02 - 24.04),20.92,(17.53 - 24.77)
Seven Counties,27.75,(23.27 - 32.74),18.31,(14.87 - 22.33),19.52,(16.37 - 23.11)
Louisiana,28.93,(26.06 - 31.98),19.41,(17.01 - 22.05),20.93,(18.81 - 23.22)
Regions 1 and 3,25.67,(21.31 - 30.58),18.01,(14.64 - 21.95),19.17,(16.13 - 22.63)
Regions 2 and 9,31.47,(27.17 - 36.11),19.75,(16.29 - 23.73),21.77,(18.73 - 25.16)
"Regions 4, 5, and 6",29.05,(24.51 - 34.05),20.13,(16.80 - 23.93),21.54,(18.56 - 24.86)
Regions 7 and 8,27.99,(23.69 - 32.75),19.81,(16.30 - 23.86),21.21,(18.08 - 24.71)
Region 10 (Jefferson),28.72,(23.81 - 34.19),18.39,(14.82 - 22.58),19.74,(16.47 - 23.47)
Maine,34.56,(31.46 - 37.79),18.63,(16.19 - 21.35),20.60,(18.38 - 23.01)
Aroostook/Downeast,34.36,(29.26 - 39.85),17.91,(14.42 - 22.03),19.87,(16.64 - 23.55)
Central,33.21,(28.02 - 38.83),19.01,(15.50 - 23.11),20.74,(17.48 - 24.43)
Cumberland,34.88,(29.92 - 40.19),18.49,(14.99 - 22.59),20.55,(17.33 - 24.18)
Midcoast,33.91,(28.64 - 39.61),17.99,(14.43 - 22.20),19.71,(16.38 - 23.52)
Penquis,36.19,(30.98 - 41.75),19.92,(16.04 - 24.47),22.30,(18.75 - 26.29)
Western,33.67,(28.62 - 39.12),19.84,(16.20 - 24.06),21.60,(18.27 - 25.36)
York,35.21,(29.62 - 41.24),17.38,(13.90 - 21.50),19.43,(16.17 - 23.17)
Maryland,28.03,(25.04 - 31.22),16.22,(13.95 - 18.78),17.92,(15.86 - 20.19)
Anne Arundel,28.19,(23.21 - 33.76),16.44,(13.08 - 20.46),18.02,(14.90 - 21.63)
Baltimore City,28.91,(23.84 - 34.57),18.36,(14.60 - 22.83),20.19,(16.79 - 24.07)
Baltimore County,28.08,(23.29 - 33.42),16.01,(12.70 - 19.98),17.65,(14.62 - 21.15)
Montgomery,27.47,(22.57 - 32.98),14.76,(11.74 - 18.40),16.36,(13.52 - 19.65)
North Central,28.95,(23.93 - 34.56),14.92,(11.78 - 18.71),16.72,(13.78 - 20.14)
Northeast,32.11,(26.66 - 38.09),17.26,(13.66 - 21.56),19.20,(15.87 - 23.02)
Prince George's,24.95,(20.46 - 30.04),15.31,(12.16 - 19.11),17.01,(14.13 - 20.33)
South,28.96,(24.05 - 34.41),17.26,(13.82 - 21.36),18.99,(15.86 - 22.57)
West,28.18,(23.19 - 33.77),16.93,(13.44 - 21.11),18.46,(15.21 - 22.22)
Massachusetts,32.97,(29.84 - 36.25),18.09,(15.76 - 20.68),20.32,(18.20 - 22.62)
Boston,31.44,(26.42 - 36.94),20.53,(16.67 - 25.01),22.56,(19.13 - 26.41)
Central,32.10,(27.06 - 37.60),17.61,(14.11 - 21.75),19.78,(16.59 - 23.41)
Metrowest,32.74,(27.67 - 38.25),17.11,(13.97 - 20.77),19.30,(16.39 - 22.59)
Northeast,33.33,(28.46 - 38.57),17.30,(13.91 - 21.31),19.48,(16.34 - 23.07)
Southeast,33.44,(28.41 - 38.89),18.49,(15.20 - 22.30),20.51,(17.45 - 23.95)
Western,34.50,(29.31 - 40.09),18.79,(15.27 - 22.91),21.57,(18.35 - 25.19)
Michigan,32.09,(30.36 - 33.86),19.45,(17.96 - 21.03),21.29,(19.99 - 22.66)
Detroit City,28.32,(24.48 - 32.50),19.13,(16.06 - 22.63),20.63,(17.90 - 23.66)
Genesee,31.50,(27.06 - 36.30),20.61,(17.25 - 24.43),22.14,(19.08 - 25.53)
Kalamazoo,33.61,(29.17 - 38.37),21.38,(18.11 - 25.07),23.30,(20.34 - 26.54)
Kent,30.34,(26.14 - 34.90),18.73,(15.56 - 22.38),20.47,(17.63 - 23.63)
Lakeshore,33.05,(28.66 - 37.74),19.17,(16.29 - 22.42),21.31,(18.66 - 24.22)
Macomb,32.80,(28.54 - 37.37),20.44,(17.38 - 23.89),21.97,(19.17 - 25.06)
Mid South,32.65,(28.81 - 36.73),21.57,(18.35 - 25.17),23.49,(20.66 - 26.57)
Northern,31.25,(27.05 - 35.77),19.89,(16.60 - 23.65),21.58,(18.64 - 24.84)
Oakland,31.93,(27.95 - 36.18),17.71,(15.16 - 20.59),19.44,(17.11 - 22.01)
Pathways and Western,33.95,(29.32 - 38.92),19.42,(16.07 - 23.28),21.69,(18.64 - 25.09)
Riverhaven,30.91,(26.31 - 35.92),19.78,(16.53 - 23.49),21.23,(18.26 - 24.54)
Saginaw,31.89,(27.21 - 36.97),19.42,(15.99 - 23.38),21.26,(18.18 - 24.70)
Southeast,32.04,(28.42 - 35.88),18.47,(15.64 - 21.68),20.23,(17.67 - 23.06)
St. Clair,32.81,(28.16 - 37.83),18.84,(15.67 - 22.47),20.68,(17.78 - 23.93)
Washtenaw,35.18,(30.61 - 40.04),18.25,(15.24 - 21.71),21.33,(18.64 - 24.30)
Minnesota,30.45,(27.49 - 33.59),16.84,(14.65 - 19.29),18.83,(16.83 - 21.01)
Regions 1 and 2,31.49,(26.28 - 37.21),17.49,(14.11 - 21.46),19.64,(16.53 - 23.18)
Regions 3 and 4,32.35,(27.56 - 37.54),17.72,(14.37 - 21.64),20.09,(17.04 - 23.53)
Regions 5 and 6,29.26,(24.75 - 34.21),16.57,(13.54 - 20.11),18.56,(15.83 - 21.63)
Region 7A (Hennepin),29.44,(24.73 - 34.62),16.56,(13.47 - 20.19),18.19,(15.31 - 21.48)
Region 7B (Ramsey),31.60,(26.63 - 37.03),16.57,(13.34 - 20.39),18.79,(15.83 - 22.16)
Region 7C,29.72,(24.94 - 35.00),16.51,(13.49 - 20.05),18.34,(15.55 - 21.51)
Mississippi,29.17,(26.24 - 32.29),18.36,(16.02 - 20.97),20.06,(17.95 - 22.34)
Region 1,30.35,(25.82 - 35.30),19.13,(15.81 - 22.96),20.83,(17.80 - 24.23)
Region 2,28.02,(22.96 - 33.70),17.77,(14.29 - 21.87),19.48,(16.31 - 23.09)
Region 3,28.81,(24.15 - 33.96),17.50,(14.11 - 21.50),19.42,(16.39 - 22.85)
Region 4,28.60,(24.08 - 33.59),17.95,(14.65 - 21.81),19.60,(16.63 - 22.96)
Region 5,28.92,(23.93 - 34.49),17.93,(14.23 - 22.33),19.59,(16.24 - 23.45)
Region 6,29.18,(24.20 - 34.72),21.00,(17.16 - 25.44),22.42,(19.02 - 26.22)
Region 7,29.72,(24.69 - 35.30),17.49,(14.16 - 21.40),19.18,(16.10 - 22.69)
Missouri,33.18,(30.19 - 36.31),19.33,(16.95 - 21.96),21.31,(19.13 - 23.67)
Central,32.82,(27.73 - 38.34),20.03,(16.43 - 24.19),22.23,(18.96 - 25.90)
Eastern,33.14,(29.12 - 37.42),18.68,(15.76 - 22.00),20.69,(17.97 - 23.70)
Eastern (St. Louis City and County),32.91,(28.10 - 38.11),18.01,(14.67 - 21.92),20.08,(16.97 - 23.60)
Eastern (excluding St. Louis),33.54,(28.24 - 39.30),19.86,(16.06 - 24.31),21.77,(18.25 - 25.77)
Northwest,32.97,(29.08 - 37.11),18.73,(15.86 - 21.97),20.67,(18.03 - 23.58)
Northwest (Jackson),32.26,(27.44 - 37.49),18.64,(15.14 - 22.73),20.39,(17.16 - 24.07)
Northwest (excluding Jackson),33.52,(28.60 - 38.84),18.80,(15.20 - 23.03),20.91,(17.61 - 24.64)
Southeast,32.06,(26.87 - 37.74),19.82,(16.10 - 24.14),21.49,(18.04 - 25.38)
Southwest,34.77,(29.59 - 40.34),20.82,(17.06 - 25.16),22.81,(19.37 - 26.65)
Montana,31.26,(28.39 - 34.29),19.14,(16.69 - 21.86),20.92,(18.72 - 23.30)
Region 1,31.75,(26.35 - 37.69),17.46,(13.86 - 21.75),19.39,(16.03 - 23.26)
Region 2,29.86,(24.92 - 35.32),18.46,(14.94 - 22.59),20.12,(16.94 - 23.74)
Region 3,31.29,(26.72 - 36.25),19.47,(16.05 - 23.41),21.04,(17.90 - 24.57)
Region 4,32.52,(28.12 - 37.24),19.79,(16.27 - 23.86),21.84,(18.66 - 25.39)
Region 5,30.61,(26.25 - 35.34),19.10,(15.80 - 22.90),20.79,(17.81 - 24.12)
Nebraska,30.17,(27.23 - 33.29),18.59,(16.24 - 21.19),20.45,(18.34 - 22.73)
Regions 1 and 2,30.58,(26.32 - 35.19),17.65,(14.73 - 21.01),19.52,(16.84 - 22.51)
Region 1,*,(* - *),17.35,(14.02 - 21.28),19.29,(16.24 - 22.76)
Region 2,*,(* - *),*,(* - *),19.71,(16.35 - 23.57)
Region 3,30.90,(26.01 - 36.26),18.49,(15.02 - 22.55),20.47,(17.32 - 24.03)
Region 4,29.88,(24.66 - 35.68),17.29,(13.74 - 21.52),19.24,(15.95 - 23.03)
Region 5,31.16,(26.78 - 35.89),18.86,(15.63 - 22.58),21.06,(18.16 - 24.28)
Region 6,29.23,(25.13 - 33.70),19.07,(16.02 - 22.55),20.65,(17.88 - 23.73)
Nevada,29.30,(26.06 - 32.77),20.65,(17.84 - 23.77),21.78,(19.25 - 24.55)
Clark,28.96,(25.21 - 33.03),20.83,(17.63 - 24.44),21.89,(19.00 - 25.09)
Rural,30.12,(24.74 - 36.11),19.10,(15.35 - 23.52),20.55,(17.04 - 24.55)
Washoe,30.12,(25.42 - 35.27),21.09,(17.29 - 25.46),22.32,(18.84 - 26.23)
New Hampshire,32.64,(29.68 - 35.75),18.86,(16.47 - 21.51),20.72,(18.57 - 23.05)
Central,33.00,(29.15 - 37.09),19.17,(16.22 - 22.51),21.15,(18.49 - 24.09)
Central 1,33.23,(28.33 - 38.53),19.13,(15.54 - 23.33),21.31,(18.08 - 24.94)
Central 2,32.74,(27.91 - 37.96),19.21,(15.74 - 23.23),21.01,(17.83 - 24.58)
Northern,32.21,(27.13 - 37.75),19.81,(16.04 - 24.22),21.62,(18.18 - 25.51)
Southern,32.56,(28.96 - 36.37),18.50,(15.83 - 21.50),20.30,(17.88 - 22.96)
Southern 1 (Rockingham),32.01,(27.32 - 37.11),17.05,(13.92 - 20.71),18.82,(15.93 - 22.10)
