"Region","Year","Age Range","Perception of Great Risk of Drug Use","Measure Type","Variable","Value"
"Connecticut","2004-2006","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",2.85
"Connecticut","2004-2006","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",36.62
"Connecticut","2004-2006","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.27
"Connecticut","2004-2006","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",77.69
"Connecticut","2006-2008","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",2.41
"Connecticut","2006-2008","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",35.72
"Connecticut","2006-2008","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",2.42
"Connecticut","2006-2008","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",30
"Connecticut","2006-2008","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.28
"Connecticut","2006-2008","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",71.91
"Connecticut","2006-2008","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",2.64
"Connecticut","2006-2008","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",30.51
"Connecticut","2006-2008","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",2.02
"Connecticut","2006-2008","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",20.03
"Connecticut","2006-2008","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.45
"Connecticut","2006-2008","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",73.93
"Connecticut","2006-2008","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",2.25
"Connecticut","2006-2008","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",39.51
"Connecticut","2006-2008","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",2.32
"Connecticut","2006-2008","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",36.49
"Connecticut","2006-2008","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",1.81
"Connecticut","2006-2008","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",78.67
"Connecticut","2006-2008","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",2.53
"Connecticut","2006-2008","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",40.92
"Connecticut","2006-2008","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",2.6
"Connecticut","2006-2008","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",39.05
"Connecticut","2006-2008","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.01
"Connecticut","2006-2008","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",79.4
"Connecticut","2008-2010","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",2.53
"Connecticut","2008-2010","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",39.38
"Connecticut","2008-2010","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",2.59
"Connecticut","2008-2010","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",25.93
"Connecticut","2008-2010","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.45
"Connecticut","2008-2010","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",69.93
"Connecticut","2008-2010","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",2.47
"Connecticut","2008-2010","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",31.36
"Connecticut","2008-2010","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",1.92
"Connecticut","2008-2010","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",16.05
"Connecticut","2008-2010","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.6
"Connecticut","2008-2010","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",67.69
"Connecticut","2008-2010","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",2.45
"Connecticut","2008-2010","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",41.34
"Connecticut","2008-2010","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",2.46
"Connecticut","2008-2010","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",33.21
"Connecticut","2008-2010","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.04
"Connecticut","2008-2010","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",74.47
"Connecticut","2008-2010","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",2.76
"Connecticut","2008-2010","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",42.94
"Connecticut","2008-2010","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",2.79
"Connecticut","2008-2010","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",35.98
"Connecticut","2008-2010","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.28
"Connecticut","2008-2010","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",75.56
"Connecticut","2010-2012","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",2.61
"Connecticut","2010-2012","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",38.3
"Connecticut","2010-2012","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",2.44
"Connecticut","2010-2012","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",22.58
"Connecticut","2010-2012","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.54
"Connecticut","2010-2012","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",69.51
"Connecticut","2010-2012","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",2.61
"Connecticut","2010-2012","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",29.82
"Connecticut","2010-2012","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",1.7
"Connecticut","2010-2012","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",12.81
"Connecticut","2010-2012","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.61
"Connecticut","2010-2012","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",66.25
"Connecticut","2010-2012","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",2.46
"Connecticut","2010-2012","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",43.18
"Connecticut","2010-2012","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",2.38
"Connecticut","2010-2012","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",28.4
"Connecticut","2010-2012","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.08
"Connecticut","2010-2012","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",75.47
"Connecticut","2010-2012","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",2.76
"Connecticut","2010-2012","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",45.28
"Connecticut","2010-2012","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",2.68
"Connecticut","2010-2012","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",30.86
"Connecticut","2010-2012","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.32
"Connecticut","2010-2012","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",76.91
"Connecticut","2012-2014","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",2.7
"Connecticut","2012-2014","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",38.97
"Connecticut","2012-2014","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",2.35
"Connecticut","2012-2014","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",23.06
"Connecticut","2012-2014","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.52
"Connecticut","2012-2014","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",69.11
"Connecticut","2012-2014","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",2.74
"Connecticut","2012-2014","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",31.01
"Connecticut","2012-2014","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",1.79
"Connecticut","2012-2014","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",11.67
"Connecticut","2012-2014","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.51
"Connecticut","2012-2014","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",69.62
"Connecticut","2012-2014","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",2.22
"Connecticut","2012-2014","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",42.09
"Connecticut","2012-2014","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",2.26
"Connecticut","2012-2014","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",25.37
"Connecticut","2012-2014","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",1.78
"Connecticut","2012-2014","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",75.56
"Connecticut","2012-2014","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",2.49
"Connecticut","2012-2014","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",43.86
"Connecticut","2012-2014","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",2.54
"Connecticut","2012-2014","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",27.58
"Connecticut","2012-2014","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",1.97
"Connecticut","2012-2014","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",76.51
"Eastern Region","2004-2006","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.49
"Eastern Region","2004-2006","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",34.56
"Eastern Region","2004-2006","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",5.1
"Eastern Region","2004-2006","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",28.82
"Eastern Region","2004-2006","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",4.09
"Eastern Region","2004-2006","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",69
"Eastern Region","2004-2006","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.84
"Eastern Region","2004-2006","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",26.54
"Eastern Region","2004-2006","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.05
"Eastern Region","2004-2006","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",17.67
"Eastern Region","2004-2006","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",4.73
"Eastern Region","2004-2006","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",70.89
"Eastern Region","2004-2006","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.25
"Eastern Region","2004-2006","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",37.23
"Eastern Region","2004-2006","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.65
"Eastern Region","2004-2006","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",33.56
"Eastern Region","2004-2006","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.51
"Eastern Region","2004-2006","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",74.42
"Eastern Region","2004-2006","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.87
"Eastern Region","2004-2006","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",39.41
"Eastern Region","2004-2006","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",5.38
"Eastern Region","2004-2006","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",36.8
"Eastern Region","2004-2006","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.97
"Eastern Region","2004-2006","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",75.14
"Eastern Region","2006-2008","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4
"Eastern Region","2006-2008","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",33.3
"Eastern Region","2006-2008","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.65
"Eastern Region","2006-2008","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",27
"Eastern Region","2006-2008","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.79
"Eastern Region","2006-2008","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",70.72
"Eastern Region","2006-2008","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.79
"Eastern Region","2006-2008","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",27.92
"Eastern Region","2006-2008","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",3.52
"Eastern Region","2006-2008","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",15.54
"Eastern Region","2006-2008","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",4.29
"Eastern Region","2006-2008","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",72.17
"Eastern Region","2006-2008","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",3.61
"Eastern Region","2006-2008","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",36.33
"Eastern Region","2006-2008","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.25
"Eastern Region","2006-2008","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",30.88
"Eastern Region","2006-2008","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.13
"Eastern Region","2006-2008","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",75.54
"Eastern Region","2006-2008","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.1
"Eastern Region","2006-2008","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",38.08
"Eastern Region","2006-2008","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.87
"Eastern Region","2006-2008","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",34.06
"Eastern Region","2006-2008","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.54
"Eastern Region","2006-2008","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",76.24
"Eastern Region","2008-2010","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.72
"Eastern Region","2008-2010","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",36.81
"Eastern Region","2008-2010","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.71
"Eastern Region","2008-2010","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",26
"Eastern Region","2008-2010","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",4.33
"Eastern Region","2008-2010","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",69.3
"Eastern Region","2008-2010","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.39
"Eastern Region","2008-2010","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",27.96
"Eastern Region","2008-2010","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",3.21
"Eastern Region","2008-2010","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",12.35
"Eastern Region","2008-2010","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",4.73
"Eastern Region","2008-2010","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",64.61
"Eastern Region","2008-2010","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",3.97
"Eastern Region","2008-2010","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",36.37
"Eastern Region","2008-2010","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.67
"Eastern Region","2008-2010","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",27.6
"Eastern Region","2008-2010","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.29
"Eastern Region","2008-2010","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",71.44
"Eastern Region","2008-2010","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.58
"Eastern Region","2008-2010","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",38.14
"Eastern Region","2008-2010","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",-9999
"Eastern Region","2008-2010","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",-9999
"Eastern Region","2008-2010","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.78
"Eastern Region","2008-2010","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",72.89
"Eastern Region","2010-2012","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.29
